video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
video_000,61.2042,20.1047,93.8353,87.5,0.0,65.453807,98.536,23.2961,100.0,95.8849,94.4488,23.2961,63.62999225000001,causal-forcing-30s,88.09958133170979,59.66525395195107,82.41271585575804
video_001,64.4018,22.3944,96.6855,100.0,0.0,71.010305,98.5103,20.811,0.0,97.4013,94.78999999999999,20.811,57.23463375,causal-forcing-30s,90.54809840059133,38.543440185956,80.14716675766427
video_002,71.2513,22.406599999999997,95.7525,75.0,0.0,76.99535,98.66890000000001,24.6315,0.0,97.7824,97.13119999999999,24.6315,57.0209375,causal-forcing-30s,90.60843489184307,42.75036527070962,81.03682096761638
video_003,55.772200000000005,20.7301,95.9382,0.0,0.0,77.989346,98.7636,19.5096,2.7344,97.9628,94.121,19.5096,48.585903833333326,causal-forcing-30s,81.3296971668138,36.60890126880948,72.38553798721293
video_004,61.9696,21.611900000000002,97.10940000000001,37.5,0.0,74.372899,98.5192,23.534399999999998,0.0,97.0802,97.321,23.534399999999998,52.71274991666667,causal-forcing-30s,86.45177118671134,40.98629284980656,77.35867551933038
video_005,63.6363,30.3107,96.5187,37.5,0.0,78.237712,97.8921,22.6725,24.218799999999998,98.2556,91.4308,22.6725,55.278809333333335,causal-forcing-30s,84.02143573039713,50.80605384642115,77.37835935360194
video_006,54.1794,32.2192,97.178,56.25,68.75,67.133408,98.53960000000001,31.2344,0.0,97.9912,97.1501,31.2344,60.98830900000001,causal-forcing-30s,86.813870996319,68.07351648351649,83.0658000937585
video_007,58.9619,22.1298,96.179,62.5,100.0,76.213194,98.9,25.377100000000002,0.0,96.3363,96.3583,25.377100000000002,63.19439116666667,causal-forcing-30s,87.38569971206385,63.37518730742203,82.58359723113549
video_008,55.084999999999994,24.9638,96.8703,0.0,75.0,75.126571,99.23490000000001,21.369699999999998,45.3125,98.1815,96.9055,21.369699999999998,59.11828925000001,causal-forcing-30s,82.86190891999998,66.98527551372851,79.68658223874567
video_009,67.4357,23.7062,95.01270000000001,0.0,0.0,75.485506,98.81830000000001,17.852899999999998,0.0,97.3762,95.7187,17.852899999999998,49.1049255,causal-forcing-30s,83.51751902859921,36.21463608071479,74.05694243902232
video_010,59.748599999999996,21.357799999999997,94.8717,100.0,0.0,62.074312,98.36970000000001,27.003,0.0,95.5449,96.35629999999999,27.003,56.860775999999994,causal-forcing-30s,89.69569493833252,44.61937479245982,80.68043090915799
video_011,45.775,24.2437,93.5629,87.5,0.0,52.371892,99.1258,21.0427,0.0,96.0483,98.0885,21.0427,53.23345766666667,causal-forcing-30s,87.52036642699191,40.097633926158174,78.03581992682516
video_012,74.1978,39.0807,96.4374,100.0,43.75,72.59845,96.7807,27.770699999999998,0.0,96.80760000000001,93.403,27.770699999999998,64.04975416666666,causal-forcing-30s,90.4080475004248,59.267252747252755,84.17988854979039
video_013,69.0384,17.3339,93.22890000000001,87.5,0.0,77.612362,98.2647,15.4497,32.4219,97.86240000000001,93.2558,15.4497,58.118146833333334,causal-forcing-30s,88.89654337132426,36.98230372935672,78.51369544293075
video_014,57.806599999999996,22.9267,96.0897,100.0,0.0,64.761822,98.8287,22.6971,10.1562,97.0583,95.0629,22.6971,57.34042683333332,causal-forcing-30s,89.62882950832824,43.46064021431051,80.39519164952469
video_015,55.66330000000001,19.2046,94.2501,37.5,25.0,74.783154,98.3541,28.021,5.4688,97.7821,94.5085,28.021,54.87972116666668,causal-forcing-30s,83.75802411373711,50.55519946254927,77.11745918349955
video_016,75.66720000000001,29.329,96.2611,100.0,50.0,69.275136,97.3515,22.5593,97.26559999999999,95.4519,94.63430000000001,22.5593,70.86286133333333,causal-forcing-30s,91.16536005338696,74.79043956043955,87.89037595479748
video_017,52.615100000000005,20.4251,92.6493,93.75,0.0,72.299517,98.6243,17.4869,92.57809999999999,96.21600000000001,95.6664,17.4869,62.48313475,causal-forcing-30s,87.62346600472343,53.506675804869765,80.8001079647527
video_018,67.281,30.625799999999998,95.08670000000001,18.75,0.0,77.292279,97.8811,21.7718,100.0,96.6506,95.30340000000001,21.7718,60.20120658333334,causal-forcing-30s,84.153711046104,63.92505494505494,80.10797982589418
video_019,73.42490000000001,20.035600000000002,93.994,12.5,0.0,69.9591,98.5325,21.510099999999998,30.859399999999997,98.4718,95.7058,21.510099999999998,53.04194166666667,causal-forcing-30s,85.22947929950557,45.160600627817956,77.21570356516804
video_020,54.848200000000006,21.2192,96.15559999999999,12.5,0.0,76.552143,98.13300000000001,21.546799999999998,0.0,95.6316,94.8124,21.546799999999998,49.41214525000001,causal-forcing-30s,81.72843953777894,38.526150757183785,73.08798178165992
video_021,56.7429,20.5576,93.14670000000001,100.0,50.0,79.793518,97.93809999999999,27.496599999999997,19.9219,95.8406,92.1523,27.496599999999997,63.42390149999998,causal-forcing-30s,86.95469400394228,59.44545781629207,81.45284676641224
video_022,54.919700000000006,23.2574,94.8455,87.5,0.0,79.077617,97.9189,20.058400000000002,0.0,97.7017,96.3335,20.058400000000002,55.972593083333344,causal-forcing-30s,88.12704143752443,38.32287243325895,78.16620763667133
video_023,55.36879999999999,28.375,97.3122,31.25,18.75,65.528912,99.1101,29.099000000000004,91.79690000000001,98.4839,96.7594,29.099000000000004,61.74443433333334,causal-forcing-30s,85.32946381194475,75.60394345640304,83.3843597408364
video_024,62.4183,20.567,96.37480000000001,100.0,0.0,73.834385,97.3998,29.663899999999998,0.0,95.1413,92.3928,29.663899999999998,58.12134875000001,causal-forcing-30s,88.19002182553751,46.98771338991296,79.94956013841261
video_025,60.65970000000001,24.3166,94.11789999999999,93.75,0.0,75.556413,98.5196,25.162200000000002,97.26559999999999,96.8586,94.5259,25.162200000000002,65.49122608333333,causal-forcing-30s,88.75424637120513,64.67578679928646,83.9385544568214
video_026,73.5244,21.4759,93.9318,56.25,0.0,78.326829,97.99900000000001,21.1798,0.0,96.4515,91.8274,21.1798,54.34553575,causal-forcing-30s,86.34201361127478,38.303247588672754,76.73426040675437
video_027,57.54709999999999,25.1078,95.4494,6.25,100.0,78.952366,97.2695,17.3545,26.953100000000003,97.299,92.8261,17.3545,59.363613833333325,causal-forcing-30s,80.53613928591746,63.208241780032104,77.07055978474038
video_028,79.7757,25.1381,96.8599,100.0,100.0,68.250474,98.65859999999999,28.288200000000003,100.0,96.5488,94.5333,28.288200000000003,76.36177283333333,causal-forcing-30s,92.76776780509822,88.68825311020674,91.95186486611992
video_029,56.9479,21.4549,96.9613,68.75,0.0,74.372608,98.87089999999999,15.1317,0.0,98.7196,96.83239999999999,15.1317,53.59775066666668,causal-forcing-30s,88.33044060855693,31.642226297946607,76.99279774643486
video_030,55.320499999999996,21.6341,97.30109999999999,43.75,0.0,58.075871,98.9533,24.7341,80.85940000000001,96.7119,98.1209,24.7341,58.34960591666667,causal-forcing-30s,86.44425087060905,61.9892796396713,81.5532566244215
video_031,64.9917,22.440099999999997,96.6311,100.0,0.0,67.503868,98.6701,19.0351,6.640600000000001,97.8862,96.27329999999999,19.0351,57.425597333333336,causal-forcing-30s,91.4148240221689,38.23934171239692,80.77972756021451
video_032,54.719899999999996,21.4386,92.4647,100.0,0.0,68.228202,98.4452,25.165,0.0,94.0484,96.0758,25.165,56.312566833333335,causal-forcing-30s,88.07439751924562,42.656376020325425,78.99079321946158
video_033,59.934,22.3912,91.6486,100.0,100.0,64.083582,97.44279999999999,14.9271,92.57809999999999,96.2214,94.4559,14.9271,70.71748183333332,causal-forcing-30s,87.8967834910562,72.07536723992803,84.73250024083056
video_034,55.2,17.357,95.8264,100.0,0.0,70.393913,97.4479,23.958199999999998,92.9688,95.9028,92.5677,23.958199999999998,63.798409416666665,causal-forcing-30s,87.20045681001622,58.46191577923131,81.45274860385925
video_035,53.439800000000005,26.7121,91.8601,37.5,0.0,71.211768,97.8638,26.407199999999996,57.4219,95.0954,92.7565,26.407199999999996,56.38964733333333,causal-forcing-30s,81.44806582864723,61.69520068626531,77.49749280017085
video_036,49.4571,20.3169,93.7357,100.0,0.0,76.669522,98.789,27.5345,55.8594,96.0745,96.3765,27.5345,61.862301833333326,causal-forcing-30s,88.20084048036342,58.05974680283098,82.17262174485694
video_037,63.9761,29.2945,96.6825,31.25,0.0,74.567617,99.0711,21.9261,0.0,97.283,96.89609999999999,21.9261,52.739426416666674,causal-forcing-30s,86.34224246365999,44.09461538461539,77.89271704785106
video_038,45.7062,20.9622,93.6105,25.0,0.0,77.115968,98.6718,14.2671,42.5781,97.2915,94.131,14.2671,51.966789,causal-forcing-30s,81.05398545668146,40.70299112768489,72.98378659088215
