video_id,group,scene,human_action,scene_mode,scene_label,human_action_mode,human_action_label,removed_reason
g1_video_007,deep-forcing-30s,0.0,100.0,keyword,sea,unmatched,,human_action_unmatched
g2_video_007,pyramid-forcing-30s,100.0,100.0,fallback,coffee,unmatched,,human_action_unmatched
g2_video_009,pyramid-forcing-30s,0.0,100.0,fallback,rush,unmatched,,human_action_unmatched
g2_video_012,pyramid-forcing-30s,0.0,100.0,preposition,kangaroo,unmatched,,human_action_unmatched
g2_video_018,pyramid-forcing-30s,94.9219,100.0,keyword,train,unmatched,,human_action_unmatched
g2_video_024,pyramid-forcing-30s,0.0,100.0,preposition,video,unmatched,,human_action_unmatched
g2_video_025,pyramid-forcing-30s,12.8906,100.0,keyword,gallery,unmatched,,human_action_unmatched
g2_video_030,pyramid-forcing-30s,0.0,100.0,preposition,shows,unmatched,,human_action_unmatched
g2_video_036,pyramid-forcing-30s,61.7188,100.0,keyword,desert,unmatched,,human_action_unmatched
g2_video_042,pyramid-forcing-30s,0.0,100.0,preposition,tropical,unmatched,,human_action_unmatched
g2_video_044,pyramid-forcing-30s,0.0,100.0,fallback,atmosphere,unmatched,,human_action_unmatched
g2_video_045,pyramid-forcing-30s,85.9375,100.0,preposition,site,unmatched,,human_action_unmatched
g2_video_046,pyramid-forcing-30s,0.3906,100.0,preposition,shape,unmatched,,human_action_unmatched
g2_video_049,pyramid-forcing-30s,0.0,100.0,keyword,gallery,unmatched,,human_action_unmatched
g2_video_054,pyramid-forcing-30s,94.9219,100.0,keyword,beach,unmatched,,human_action_unmatched
g2_video_057,pyramid-forcing-30s,0.0,6.25,fallback,cappuccino,unmatched,,human_action_unmatched
g2_video_062,pyramid-forcing-30s,0.0,100.0,fallback,color,unmatched,,human_action_unmatched
g2_video_073,pyramid-forcing-30s,40.625,100.0,keyword,warehouse,unmatched,,human_action_unmatched
g2_video_078,pyramid-forcing-30s,81.64059999999999,100.0,preposition,tunnel,unmatched,,human_action_unmatched
g2_video_080,pyramid-forcing-30s,0.0,100.0,preposition,hyper,unmatched,,human_action_unmatched
g2_video_083,pyramid-forcing-30s,83.20309999999999,100.0,keyword,mountain,unmatched,,human_action_unmatched
g2_video_088,pyramid-forcing-30s,0.0,100.0,keyword,alley,unmatched,,human_action_unmatched
g2_video_090,pyramid-forcing-30s,0.0,100.0,fallback,tv,unmatched,,human_action_unmatched
g2_video_124,pyramid-forcing-30s,29.2969,100.0,keyword,lake,unmatched,,human_action_unmatched
g2_video_126,pyramid-forcing-30s,0.0,100.0,preposition,fast,unmatched,,human_action_unmatched
g3_video_007,rolling-forcing-30s,0.0,100.0,keyword,sea,unmatched,,human_action_unmatched
g4_video_007,self-forcing-30s,0.0,100.0,keyword,sea,unmatched,,human_action_unmatched
