video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group
g1_video_000,0.636713,0.209256,0.966065,0.777778,0.0,66.681178,0.985696,0.246325,0.0,0.975681,0.956466,0.246325,6.05679025,k1_selfforcing_absolute21_baseline
g1_video_001,0.626754,0.212663,0.966065,0.111111,0.0,77.977838,0.989709,0.246465,0.0,0.975681,0.979575,0.246465,6.944360500000001,k1_selfforcing_absolute21_baseline
g1_video_002,0.699141,0.247033,0.966065,0.555556,0.0,72.282548,0.991731,0.225765,0.0,0.975681,0.982217,0.225765,6.512625166666666,k1_selfforcing_absolute21_baseline
g1_video_003,0.57871,0.208757,0.966065,0.111111,0.0,74.368164,0.9923,0.225899,0.0,0.975681,0.979892,0.225899,6.636039833333332,k1_selfforcing_absolute21_baseline
g1_video_004,0.681388,0.217039,0.966065,0.222222,0.0,67.442264,0.988415,0.275391,0.0,0.975681,0.984872,0.275391,6.085727333333332,k1_selfforcing_absolute21_baseline
g1_video_005,0.676247,0.312903,0.966065,0.555556,0.0,78.933532,0.989936,0.251052,0.0,0.975681,0.980262,0.251052,7.074357166666666,k1_selfforcing_absolute21_baseline
g1_video_006,0.552609,0.295239,0.966065,0.111111,0.0,68.476288,0.991253,0.307458,0.0,0.975681,0.985826,0.307458,6.164082333333332,k1_selfforcing_absolute21_baseline
g1_video_007,0.583119,0.218467,0.966065,0.0,0.0,75.265811,0.989823,0.307985,0.0,0.975681,0.981845,0.307985,6.716398416666667,k1_selfforcing_absolute21_baseline
g1_video_008,0.683144,0.264151,0.966065,0.0,0.0,76.363813,0.99603,0.242478,0.0,0.975681,0.995523,0.242478,6.8107802500000005,k1_selfforcing_absolute21_baseline
g1_video_009,0.605007,0.250893,0.966065,0.0,0.0,73.357008,0.993484,0.221745,0.0,0.975681,0.990903,0.221745,6.548544249999999,k1_selfforcing_absolute21_baseline
g1_video_010,0.662577,0.218339,0.966065,0.0,0.0,66.434837,0.992601,0.330145,0.0,0.975681,0.990272,0.330145,5.991721833333333,k1_selfforcing_absolute21_baseline
g1_video_011,0.525826,0.262421,0.966065,0.0,0.0,57.605157,0.992591,0.20059,0.951389,0.975681,0.989999,0.20059,5.305859083333332,k1_selfforcing_absolute21_baseline
g1_video_012,0.754699,0.387809,0.966065,1.0,0.0,61.059349,0.963889,0.320033,0.0,0.975681,0.944539,0.320033,5.6410080833333325,k1_selfforcing_absolute21_baseline
g1_video_013,0.715522,0.208128,0.966065,0.888889,0.0,73.894548,0.971097,0.187925,0.5,0.975681,0.953499,0.187925,6.704106583333334,k1_selfforcing_absolute21_baseline
g1_video_014,0.5722,0.238367,0.966065,0.777778,0.0,70.185497,0.991327,0.295691,0.1875,0.975681,0.98614,0.295691,6.372661416666667,k1_selfforcing_absolute21_baseline
g1_video_015,0.572046,0.187856,0.966065,0.0,0.0,74.710926,0.98779,0.233937,0.0,0.975681,0.981844,0.233937,6.654173499999999,k1_selfforcing_absolute21_baseline
g1_video_016,0.723078,0.302684,0.966065,1.0,0.0,73.220248,0.971522,0.265361,0.0,0.975681,0.949994,0.265361,6.636666166666665,k1_selfforcing_absolute21_baseline
g1_video_017,0.600473,0.21956,0.966065,0.777778,0.0,76.035858,0.981651,0.206891,0.0,0.975681,0.969513,0.206891,6.828363416666666,k1_selfforcing_absolute21_baseline
g1_video_018,0.81956,0.347629,0.966065,0.222222,0.0,78.394106,0.994137,0.247253,0.0,0.975681,0.991746,0.247253,7.017137666666666,k1_selfforcing_absolute21_baseline
g1_video_019,0.781278,0.202541,0.966065,0.0,0.0,78.464017,0.993172,0.31106,0.0,0.975681,0.983737,0.31106,6.999050916666666,k1_selfforcing_absolute21_baseline
g1_video_020,0.517144,0.215337,0.966065,0.333333,0.0,74.690185,0.988412,0.261697,0.0,0.975681,0.975998,0.261697,6.682129083333333,k1_selfforcing_absolute21_baseline
g1_video_021,0.70322,0.234194,0.966065,0.888889,0.0,73.475526,0.980396,0.224998,0.0,0.975681,0.959238,0.224998,6.6361004166666655,k1_selfforcing_absolute21_baseline
g1_video_022,0.565997,0.247606,0.966065,0.555556,0.0,78.444021,0.987659,0.165118,0.0,0.975681,0.986464,0.165118,7.004940416666667,k1_selfforcing_absolute21_baseline
g1_video_023,0.595652,0.335001,0.966065,0.333333,0.0,68.464881,0.99172,0.321314,0.0,0.975681,0.984564,0.321314,6.190793750000001,k1_selfforcing_absolute21_baseline
g1_video_024,0.607303,0.210737,0.966065,1.0,0.0,68.33172,0.950108,0.296083,0.0,0.975681,0.894536,0.296083,6.210692999999999,k1_selfforcing_absolute21_baseline
g2_video_000,0.632325,0.213696,0.967496,0.888889,0.0,68.16185,0.98853,0.087651,0.0,0.976903,0.960698,0.087651,6.163807416666664,k2_selfforcing_dynamic21_baseline
g2_video_001,0.626992,0.212074,0.967496,0.111111,0.0,77.609518,0.988879,0.076661,0.0,0.976903,0.974642,0.076661,6.885078083333332,k2_selfforcing_dynamic21_baseline
g2_video_002,0.703009,0.196101,0.967496,0.666667,0.0,72.960584,0.992753,0.063087,0.0,0.976903,0.984904,0.063087,6.5478825833333305,k2_selfforcing_dynamic21_baseline
g2_video_003,0.570875,0.20658,0.967496,0.111111,0.0,76.145741,0.99265,0.099867,0.0,0.976903,0.977296,0.099867,6.762365499999999,k2_selfforcing_dynamic21_baseline
g2_video_004,0.676742,0.217637,0.967496,0.111111,0.0,67.193242,0.988414,0.022345,0.0,0.976903,0.98554,0.022345,6.013481250000001,k2_selfforcing_dynamic21_baseline
g2_video_005,0.690103,0.222287,0.967496,0.666667,0.0,79.047124,0.989336,0.045778,0.0,0.976903,0.977667,0.045778,7.052428249999998,k2_selfforcing_dynamic21_baseline
g2_video_006,0.543078,0.25626,0.967496,0.111111,0.0,68.781248,0.993846,0.082029,0.0,0.976903,0.991329,0.082029,6.148777416666667,k2_selfforcing_dynamic21_baseline
g2_video_007,0.585688,0.216607,0.967496,0.0,0.0,75.022437,0.989695,0.066013,0.0,0.976903,0.98173,0.066013,6.656048499999998,k2_selfforcing_dynamic21_baseline
g2_video_008,0.669459,0.237422,0.967496,0.0,0.0,76.562466,0.996884,0.03794,0.0,0.976903,0.997162,0.03794,6.790306,k2_selfforcing_dynamic21_baseline
g2_video_009,0.618543,0.199514,0.967496,0.0,0.0,72.762192,0.99376,0.047675,0.0,0.976903,0.991277,0.047675,6.467086249999998,k2_selfforcing_dynamic21_baseline
g2_video_010,0.66385,0.217658,0.967496,0.0,0.0,66.155448,0.992993,0.030798,0.0,0.976903,0.990857,0.030798,5.918900083333334,k2_selfforcing_dynamic21_baseline
g2_video_011,0.515948,0.256171,0.967496,0.0,0.0,68.632571,0.995358,0.077618,0.0,0.976903,0.993035,0.077618,6.124393166666667,k2_selfforcing_dynamic21_baseline
g2_video_012,0.748778,0.203542,0.967496,1.0,0.0,65.06689,0.962763,0.023298,0.0,0.976903,0.939387,0.023298,5.909362916666665,k2_selfforcing_dynamic21_baseline
g2_video_013,0.705925,0.208825,0.967496,0.888889,0.0,73.560188,0.974619,0.034895,0.104167,0.976903,0.956801,0.034895,6.617800250000001,k2_selfforcing_dynamic21_baseline
g2_video_014,0.575817,0.210262,0.967496,0.666667,0.0,70.46151,0.99246,0.040096,0.0,0.976903,0.988151,0.040096,6.326621500000001,k2_selfforcing_dynamic21_baseline
g2_video_015,0.579625,0.186282,0.967496,0.0,0.0,74.844362,0.989002,0.048784,0.0,0.976903,0.984666,0.048784,6.635491999999999,k2_selfforcing_dynamic21_baseline
g2_video_016,0.702079,0.213267,0.967496,1.0,0.0,70.448589,0.972423,0.030643,0.0,0.976903,0.949091,0.030643,6.3575944999999985,k2_selfforcing_dynamic21_baseline
g2_video_017,0.58368,0.219446,0.967496,1.0,0.0,75.67155,0.982809,0.052074,0.0,0.976903,0.971239,0.052074,6.789772583333334,k2_selfforcing_dynamic21_baseline
