video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,multiple_objects,object_class,overall_consistency,scene,spatial_relationship,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group
video_000,61.834199999999996,20.2973,96.92880000000001,22.2222,0.0,61.773975,98.5876,0.0,0.0,24.177699999999998,0.0,0.0,97.9914,96.9866,24.177699999999998,40.331831666666666,k3_sta_posneg_osc_phase6_tail4
video_001,64.1536,19.8855,96.92880000000001,11.1111,0.0,75.373546,99.17399999999999,0.0,0.0,27.0465,0.0,0.0,97.9914,98.72189999999999,27.0465,41.16218973333333,k3_sta_posneg_osc_phase6_tail4
video_002,70.219,22.945999999999998,96.92880000000001,66.6667,0.0,74.01635,99.1784,0.0,0.0,23.185,0.0,0.0,97.9914,98.5133,23.185,44.85533,k3_sta_posneg_osc_phase6_tail4
video_003,61.002100000000006,19.929,96.92880000000001,11.1111,0.0,75.658538,98.8564,0.0,0.0,25.4193,0.0,0.0,97.9914,97.4729,25.4193,40.6525892,k3_sta_posneg_osc_phase6_tail4
video_004,66.0284,21.5615,96.92880000000001,0.0,0.0,67.772123,98.79339999999999,0.0,0.0,27.4009,0.0,0.0,97.9914,98.4725,27.4009,40.156661533333335,k3_sta_posneg_osc_phase6_tail4
video_005,69.229,32.5437,96.92880000000001,11.1111,0.0,77.194666,98.7661,0.0,0.0,27.6638,0.0,0.0,97.9914,98.0391,27.6638,42.47543106666667,k3_sta_posneg_osc_phase6_tail4
video_006,55.34630000000001,29.377599999999997,96.92880000000001,0.0,0.0,66.035967,99.25,0.0,0.0,30.6308,0.0,0.0,97.9914,98.99130000000001,30.6308,40.34553113333334,k3_sta_posneg_osc_phase6_tail4
video_007,57.04860000000001,21.6663,96.92880000000001,0.0,0.0,76.358674,99.1007,0.0,0.0,31.642500000000002,0.0,0.0,97.9914,98.4489,31.642500000000002,40.7218916,k3_sta_posneg_osc_phase6_tail4
video_008,66.104,25.201099999999997,96.92880000000001,0.0,0.0,77.493712,99.6621,0.0,0.0,25.1307,0.0,0.0,97.9914,99.7009,25.1307,40.889560800000005,k3_sta_posneg_osc_phase6_tail4
video_009,62.2274,24.3011,96.92880000000001,0.0,0.0,73.584153,99.2991,0.0,0.0,20.7211,0.0,0.0,97.9914,99.0445,20.7211,39.65457686666666,k3_sta_posneg_osc_phase6_tail4
video_010,65.6041,21.9894,96.92880000000001,11.1111,0.0,67.519516,99.2059,0.0,0.0,33.130700000000004,0.0,0.0,97.9914,99.07169999999999,33.130700000000004,41.712221066666665,k3_sta_posneg_osc_phase6_tail4
video_011,52.993900000000004,26.878600000000002,96.92880000000001,0.0,0.0,69.485598,99.6148,0.0,0.0,19.114900000000002,100.0,0.0,97.9914,99.5959,19.114900000000002,45.44791986666667,k3_sta_posneg_osc_phase6_tail4
video_012,79.3573,40.651399999999995,96.92880000000001,77.7778,0.0,60.15892,97.8874,0.0,0.0,31.2543,0.0,0.0,97.9914,96.8493,31.2543,47.340728,k3_sta_posneg_osc_phase6_tail4
