video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g1_video_000,63.8332,20.9151,94.8378,88.8889,0.0,66.60025,98.5714,24.632299999999997,100.0,97.5245,95.6474,24.632299999999997,64.67359583333334,k1_selfforcing_absolute21_baseline,89.63128449865111,61.70310665441375,84.04564892980365
g1_video_001,62.607800000000005,21.2271,97.5759,11.1111,0.0,77.98126,98.9709,24.668799999999997,0.0,98.2498,97.9571,24.668799999999997,51.25154666666666,k1_selfforcing_absolute21_baseline,85.33035975490704,41.96247163939363,76.65678213180436
g1_video_002,69.8763,24.7166,95.72840000000001,55.555600000000005,0.0,72.287867,99.1729,22.570899999999998,0.0,97.4143,98.2214,22.570899999999998,54.842930583333334,k1_selfforcing_absolute21_baseline,89.54827265223399,42.10930065717838,80.06047825322287
g1_video_003,57.8451,20.884900000000002,96.5951,11.1111,0.0,74.423483,99.2301,22.528000000000002,0.0,98.4155,97.9886,22.528000000000002,50.12915691666668,k1_selfforcing_absolute21_baseline,84.57304348666926,39.369466303197854,75.53232804997498
g1_video_004,68.1766,21.7049,98.26899999999999,11.1111,0.0,67.444047,98.8399,27.5411,0.0,98.3751,98.4868,27.5411,51.45747058333333,k1_selfforcing_absolute21_baseline,86.5047594966752,45.45461476682138,78.29473055070443
g1_video_005,67.7428,31.291400000000003,97.2889,55.555600000000005,0.0,78.918119,98.9934,25.1413,24.3056,98.7487,98.0255,25.1413,58.42938491666667,k1_selfforcing_absolute21_baseline,89.60953760647006,53.54013496355263,82.39565707788657
g1_video_006,55.298199999999994,29.5074,97.6247,11.1111,55.555600000000005,68.455303,99.1259,30.734099999999998,0.0,98.0182,98.5829,30.734099999999998,56.22895858333333,k1_selfforcing_absolute21_baseline,84.51576159246919,64.88485626373625,80.5895805267226
g1_video_007,58.2798,21.8471,96.7928,0.0,100.0,75.239636,98.9829,30.7778,0.0,98.8479,98.1845,30.7778,59.14418633333333,k1_selfforcing_absolute21_baseline,83.85515561333489,69.11135767956569,80.90639602658105
g1_video_008,68.3377,26.4271,98.785,0.0,100.0,76.349411,99.6034,24.2355,100.0,99.3814,99.55239999999999,24.2355,68.07561758333334,k1_selfforcing_absolute21_baseline,86.80885941742633,85.14056937440634,86.47520140882234
g1_video_009,60.435700000000004,25.084600000000002,98.4294,0.0,0.0,73.385296,99.3486,22.195500000000003,0.0,99.1682,99.0902,22.195500000000003,49.94441633333333,k1_selfforcing_absolute21_baseline,85.15437425042757,41.95538175808732,76.51457575195951
