video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,multiple_objects,object_class,overall_consistency,scene,spatial_relationship,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group
g1_video_000,63.770700000000005,20.921899999999997,94.8608,88.8889,0.0,66.602142,98.5711,0.0,100.0,24.6403,100.0,100.0,97.5235,95.6472,24.6403,65.0711228,k1_selfforcing_absolute21_baseline
g1_video_001,62.630300000000005,21.226,97.603,11.1111,0.0,77.983695,98.9703,0.0,0.0,24.6559,0.0,0.0,98.2552,97.9575,24.6559,41.003259666666665,k1_selfforcing_absolute21_baseline
g1_video_002,69.8361,24.7171,95.7886,55.555600000000005,0.0,72.288798,99.173,0.0,100.0,22.5906,0.0,45.0849,97.4261,98.2216,22.5906,53.551533199999994,k1_selfforcing_absolute21_baseline
g1_video_003,57.96059999999999,20.8798,96.6057,11.1111,0.0,74.355803,99.2302,0.0,0.0,22.5445,0.0,0.0,98.4341,97.9886,22.5445,40.11032686666667,k1_selfforcing_absolute21_baseline
g1_video_004,68.1422,21.7053,98.2527,11.1111,0.0,67.445186,98.83999999999999,0.0,0.0,27.558300000000003,0.0,0.0,98.37320000000001,98.4866,27.558300000000003,41.164859066666665,k1_selfforcing_absolute21_baseline
g1_video_005,67.6746,31.321900000000003,97.373,55.555600000000005,0.0,78.919128,98.9931,0.0,0.0,25.1191,23.6111,0.0,98.74579999999999,98.0244,25.1191,46.69712186666667,k1_selfforcing_absolute21_baseline
g1_video_006,55.2844,29.500500000000002,97.6487,0.0,55.555600000000005,68.463071,99.12530000000001,0.0,0.0,30.7464,0.0,0.0,98.0231,98.5821,30.7464,44.24503806666667,k1_selfforcing_absolute21_baseline
g1_video_007,58.262800000000006,21.864,96.78290000000001,0.0,100.0,75.239914,98.983,0.0,0.0,30.773699999999998,0.0,0.0,98.8488,98.1847,30.773699999999998,47.314234266666666,k1_selfforcing_absolute21_baseline
g1_video_008,68.3574,26.422,98.7918,0.0,100.0,76.353729,99.6034,0.0,100.0,24.2362,100.0,5.1171,99.38329999999999,99.5523,24.2362,61.47022860000001,k1_selfforcing_absolute21_baseline
g1_video_009,60.4503,25.083699999999997,98.4315,0.0,0.0,73.369812,99.3485,0.0,0.0,22.1474,0.0,0.0,99.1649,99.0904,22.1474,39.94892746666667,k1_selfforcing_absolute21_baseline
g1_video_010,66.26689999999999,21.816,96.3191,0.0,0.0,66.458122,99.2603,0.0,0.0,33.0009,0.0,0.0,98.2598,99.0273,33.0009,40.89395479999999,k1_selfforcing_absolute21_baseline
g1_video_011,52.798,26.215300000000003,96.3338,0.0,0.0,57.544373,99.2602,0.0,100.0,20.0184,0.0,11.913025,98.717,98.9997,20.0184,45.45454653333333,k1_selfforcing_absolute21_baseline
g1_video_012,75.5188,38.7713,95.9171,100.0,88.8889,61.094955,96.3879,0.0,0.0,32.0637,0.0,0.0,95.7359,94.4544,32.0637,54.059777000000004,k1_selfforcing_absolute21_baseline
g1_video_013,71.5212,20.8146,92.58800000000001,88.8889,0.0,73.851742,97.10839999999999,0.0,0.0,18.894,80.5556,0.0,92.117,95.3499,18.894,50.03888946666667,k1_selfforcing_absolute21_baseline
g1_video_014,57.29149999999999,23.8281,96.81490000000001,77.7778,0.0,70.142715,99.1318,0.0,0.0,29.5725,0.0,0.0,96.587,98.614,29.5725,45.28885433333333,k1_selfforcing_absolute21_baseline
g1_video_015,57.1728,18.7897,96.9391,0.0,100.0,74.677797,98.7796,0.0,0.0,23.4007,15.9722,0.0,99.31269999999999,98.18440000000001,23.4007,47.10864646666667,k1_selfforcing_absolute21_baseline
g1_video_016,72.5015,30.303600000000003,96.307,100.0,22.2222,73.263691,97.153,0.0,0.0,26.5805,92.3611,0.0,95.3246,94.9996,26.5805,55.17315273333334,k1_selfforcing_absolute21_baseline
g1_video_017,60.020700000000005,21.9509,95.7414,77.7778,0.0,76.044927,98.165,0.0,0.0,20.6687,100.0,0.0,98.2584,96.9508,20.6687,51.083155133333335,k1_selfforcing_absolute21_baseline
g1_video_018,81.9488,34.7586,98.0549,22.2222,0.0,78.370569,99.4131,0.0,0.0,24.738599999999998,100.0,0.0,99.2572,99.1743,24.738599999999998,50.845124600000005,k1_selfforcing_absolute21_baseline
g1_video_019,78.3084,20.2758,96.45939999999999,0.0,0.0,78.471893,99.3173,0.0,0.0,31.101,85.4167,0.0,99.0224,98.3737,31.101,47.856506200000005,k1_selfforcing_absolute21_baseline
g1_video_020,51.646800000000006,21.5303,96.1869,33.3333,0.0,74.71894,98.8398,0.0,0.0,26.2092,0.0,0.0,97.7293,97.59949999999999,26.2092,41.600216,k1_selfforcing_absolute21_baseline
g1_video_021,70.18900000000001,23.468600000000002,95.2417,88.8889,0.0,73.495941,98.0424,0.0,0.0,22.3944,34.7222,0.0,95.16940000000001,95.92399999999999,22.3944,47.995396066666665,k1_selfforcing_absolute21_baseline
g1_video_022,56.71000000000001,24.7331,97.21340000000001,66.6667,0.0,78.455148,98.7663,0.0,0.0,16.4884,0.0,0.0,98.8367,98.6459,16.4884,43.5336032,k1_selfforcing_absolute21_baseline
g1_video_023,59.451100000000004,33.4865,98.9147,33.3333,0.0,68.443684,99.1721,0.0,0.0,32.1324,22.2222,0.0,99.5328,98.4563,32.1324,45.151832266666666,k1_selfforcing_absolute21_baseline
g1_video_024,60.5773,21.060100000000002,94.3186,100.0,0.0,68.370169,94.98689999999999,0.0,0.0,29.5554,0.0,0.0,91.1383,89.4536,29.5554,45.26771793333334,k1_selfforcing_absolute21_baseline
g2_video_000,61.7946,20.2842,94.8958,22.2222,0.0,61.739949,98.58789999999999,0.0,100.0,24.1534,97.2222,100.0,97.4444,96.98689999999999,24.1534,59.965663266666674,k3_sta_posneg_osc_phase6_tail4
g2_video_001,64.1536,19.8853,97.35470000000001,11.1111,0.0,75.373546,99.17399999999999,0.0,0.0,27.0465,0.0,0.0,97.6874,98.72189999999999,27.0465,41.17030306666666,k3_sta_posneg_osc_phase6_tail4
g2_video_002,70.219,22.944300000000002,95.1115,66.6667,0.0,74.01635,99.1784,0.0,100.0,23.185,0.0,45.142775,96.269,98.5133,23.185,54.29542166666667,k3_sta_posneg_osc_phase6_tail4
g2_video_003,61.002100000000006,19.9282,97.1516,11.1111,0.0,75.658538,98.8564,0.0,0.0,25.4193,0.0,0.0,98.6931,97.4729,25.4193,40.71416920000001,k3_sta_posneg_osc_phase6_tail4
g2_video_004,66.098,21.5589,98.5048,0.0,0.0,67.791253,98.7936,0.0,0.0,27.3964,0.0,0.0,98.16669999999999,98.4727,27.3964,40.27858353333332,k3_sta_posneg_osc_phase6_tail4
g2_video_005,69.2888,32.5745,97.4251,11.1111,0.0,77.183117,98.76599999999999,0.0,0.0,27.6653,63.88890000000001,0.0,98.667,98.03880000000001,27.6653,46.81826113333333,k3_sta_posneg_osc_phase6_tail4
g2_video_006,55.264199999999995,29.377,98.0229,0.0,88.8889,66.02345,99.2502,0.0,0.0,30.628800000000002,0.0,0.0,98.98559999999999,98.9914,30.628800000000002,46.40408333333333,k3_sta_posneg_osc_phase6_tail4
g2_video_007,56.9898,21.662100000000002,95.9974,0.0,100.0,76.363934,99.1007,0.0,0.0,31.635400000000004,0.0,0.0,98.4541,98.4489,31.635400000000004,47.3525156,k3_sta_posneg_osc_phase6_tail4
g2_video_008,66.0617,25.1996,99.2265,0.0,100.0,77.491826,99.66199999999999,0.0,100.0,25.127,100.0,5.989574999999999,99.5518,99.7009,25.127,61.542526733333325,k3_sta_posneg_osc_phase6_tail4
g2_video_009,62.21,24.3127,97.9787,0.0,0.0,73.609474,99.2993,0.0,0.0,20.7264,0.0,0.0,99.1112,99.0445,20.7264,39.801244933333344,k3_sta_posneg_osc_phase6_tail4
g2_video_010,65.5512,21.9853,96.1741,0.0,0.0,67.513061,99.2059,0.0,0.0,33.0927,0.0,0.0,97.66850000000001,99.0718,33.0927,40.89035073333333,k3_sta_posneg_osc_phase6_tail4
g2_video_011,52.993900000000004,26.8783,98.4337,0.0,0.0,69.485598,99.6148,0.0,100.0,19.114900000000002,0.0,0.0,99.6837,99.5959,19.114900000000002,45.66104653333334,k3_sta_posneg_osc_phase6_tail4
g2_video_012,79.37950000000001,40.6155,97.4611,66.6667,100.0,60.08572,97.8866,0.0,0.0,31.275,0.0,0.0,97.5355,96.8489,31.275,53.268634666666664,k3_sta_posneg_osc_phase6_tail4
