video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,multiple_objects,object_class,overall_consistency,scene,spatial_relationship,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group
g1_video_000,63.81869999999999,20.9422,96.6108,77.7778,0.0,66.586365,98.5714,0.0,0.0,24.6158,0.0,0.0,97.5682,95.6477,24.6158,44.45031766666667,k1_selfforcing_absolute21_baseline
g1_video_001,62.630300000000005,21.2266,96.6108,11.1111,0.0,77.983695,98.9703,0.0,0.0,24.6559,0.0,0.0,97.5682,97.9575,24.6559,40.891353,k1_selfforcing_absolute21_baseline
g1_video_002,69.8753,24.718899999999998,96.6108,55.555600000000005,0.0,72.288378,99.1729,0.0,0.0,22.5701,0.0,0.0,97.5682,98.2214,22.5701,43.943445200000006,k1_selfforcing_absolute21_baseline
g1_video_003,57.8658,20.8882,96.6108,11.1111,0.0,74.42026,99.2301,0.0,0.0,22.5809,0.0,0.0,97.5682,97.9884,22.5809,40.05631066666667,k1_selfforcing_absolute21_baseline
g1_video_004,68.1409,21.7119,96.6108,11.1111,0.0,67.433316,98.8399,0.0,0.0,27.5889,0.0,0.0,97.5682,98.4868,27.5889,41.00538106666667,k1_selfforcing_absolute21_baseline
g1_video_005,67.7103,31.298,96.6108,55.555600000000005,0.0,78.914098,98.9934,0.0,0.0,25.140099999999997,0.0,0.0,97.5682,98.0251,25.140099999999997,44.99704653333333,k1_selfforcing_absolute21_baseline
g1_video_006,55.251099999999994,29.5057,96.6108,11.1111,0.0,68.457491,99.1258,0.0,0.0,30.7413,0.0,0.0,97.5682,98.5827,30.7413,41.179699400000004,k1_selfforcing_absolute21_baseline
g1_video_007,58.236200000000004,21.8484,96.6108,0.0,0.0,75.240723,98.98209999999999,0.0,0.0,30.767099999999996,0.0,0.0,97.5682,98.1845,30.767099999999996,40.5470082,k1_selfforcing_absolute21_baseline
g1_video_008,68.3192,26.423999999999996,96.6108,0.0,0.0,76.359919,99.6034,0.0,0.0,24.2365,0.0,0.0,97.5682,99.5525,24.2365,40.860734599999994,k1_selfforcing_absolute21_baseline
g1_video_009,60.501599999999996,25.089499999999997,96.6108,0.0,0.0,73.356406,99.3484,0.0,0.0,22.1754,0.0,0.0,97.5682,99.0903,22.1754,39.727733733333345,k1_selfforcing_absolute21_baseline
g1_video_010,66.2338,21.8193,96.6108,0.0,0.0,66.450819,99.2604,0.0,0.0,33.0054,0.0,0.0,97.5682,99.0275,33.0054,40.86544126666667,k1_selfforcing_absolute21_baseline
g1_video_011,52.6949,26.231900000000003,96.6108,0.0,0.0,57.492257,99.2602,0.0,0.0,20.0819,95.1389,0.0,97.5682,98.9999,20.0819,44.27739046666667,k1_selfforcing_absolute21_baseline
g1_video_012,75.4567,38.7656,96.6108,100.0,0.0,61.086684,96.38839999999999,0.0,0.0,32.0851,0.0,0.0,97.5682,94.4544,32.0851,48.300065599999996,k1_selfforcing_absolute21_baseline
g1_video_013,71.33800000000001,20.8038,96.6108,88.8889,0.0,73.844587,97.1126,0.0,0.0,18.8617,54.86109999999999,0.0,97.5682,95.3497,18.8617,48.94007246666667,k1_selfforcing_absolute21_baseline
