video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g1_video_000,59.2897,20.5003,94.1246,100.0,0.0,67.039524,96.7563,21.9666,80.0,96.6212,92.9607,21.9666,62.602127,deep-forcing,87.4026590797708,57.94225456241714,81.51057817630007
g1_video_001,63.820299999999996,21.2694,96.0824,100.0,0.0,73.643932,98.73920000000001,27.045,0.0,97.7758,96.98780000000001,27.045,58.53406933333333,deep-forcing,91.43340671243683,44.603406361733846,82.06740664229623
g1_video_002,69.10119999999999,23.7035,93.2942,100.0,0.0,73.582621,98.9489,21.4877,0.0,94.5763,98.0048,21.4877,57.84891008333333,deep-forcing,91.62123521153114,40.20702439514105,81.33839304825312
g1_video_003,62.918099999999995,20.5474,96.77980000000001,73.33330000000001,0.0,75.157219,98.7249,27.271,0.0,97.13770000000001,96.9263,27.271,56.338893250000005,deep-forcing,89.24055640097683,44.34437923285429,80.26132096735232
g1_video_004,68.4947,21.3705,98.6371,53.333299999999994,0.0,70.202343,99.103,26.033800000000003,0.0,97.87519999999999,98.7904,26.033800000000003,54.98951191666666,deep-forcing,90.05302206114241,43.56324465415119,80.75506657974418
g1_video_005,68.4992,32.0984,95.9856,33.3333,0.0,77.780575,97.7317,26.262400000000003,47.0833,98.2,95.6643,26.262400000000003,58.24176458333333,deep-forcing,86.00029563282831,60.31278435502713,80.86279337726808
g1_video_006,52.0476,32.5864,98.5406,0.0,13.333300000000001,70.47224,99.3757,30.8732,0.0,99.0377,99.1216,30.8732,52.188461666666676,deep-forcing,83.89088216026046,56.593253406593405,78.43135640952706
g1_video_007,61.823499999999996,20.8734,96.54599999999999,13.333300000000001,100.0,77.229815,98.9644,31.9741,0.0,98.812,98.41149999999999,31.9741,60.828509583333336,deep-forcing,85.45254052434531,69.74171445560764,82.31037531059778
g1_video_008,71.9107,25.176399999999997,98.5533,0.0,100.0,79.444704,99.5367,24.7314,100.0,99.4158,99.40299999999999,24.7314,68.57528366666666,deep-forcing,87.21927612707809,84.80659665001197,86.73674023166487
g1_video_009,66.5967,24.1229,96.0702,13.333300000000001,0.0,66.334965,99.11410000000001,30.1583,0.0,98.0755,98.5042,30.1583,51.872372083333325,deep-forcing,86.07252897067679,50.02988570810778,78.86400031816298
g1_video_010,68.9797,22.4435,96.527,46.6667,0.0,65.84726,99.2707,30.29,0.0,97.783,98.9627,30.29,54.75504666666668,deep-forcing,89.31864212527678,48.994428270254,81.25379935427222
g1_video_011,53.9349,27.1685,96.9025,0.0,0.0,56.040381,99.5098,18.6111,0.0,98.2591,99.2594,18.6111,47.35806508333334,deep-forcing,83.82765068503875,39.48092198033871,74.95830494409874
g1_video_012,75.5451,38.288,96.9764,100.0,13.333300000000001,67.610933,96.78909999999999,26.510299999999997,0.0,97.38839999999999,95.37989999999999,26.510299999999997,61.19431108333333,deep-forcing,91.65714150143754,51.798857802197794,83.68548476158959
g1_video_013,67.8334,20.5973,88.4876,100.0,0.0,71.574799,96.3818,16.3229,82.5,89.9542,92.4194,16.3229,61.86619158333334,deep-forcing,85.91913526774914,52.3485668723406,79.20502158866744
g1_video_014,58.39640000000001,23.954700000000003,96.8655,53.333299999999994,0.0,69.173951,99.28670000000001,29.566799999999997,0.0,96.6006,99.0047,29.566799999999997,54.64578758333332,deep-forcing,88.08659313521969,49.26168472427081,80.32161145302992
g1_video_015,55.527300000000004,19.0063,97.1437,0.0,40.0,73.130819,99.2326,23.8223,17.5,99.37700000000001,98.935,23.8223,53.958109916666665,deep-forcing,84.0433870634146,51.728477145086416,77.58040507974896
g1_video_016,66.7227,28.6594,95.30499999999999,100.0,6.6667000000000005,70.318978,98.0574,24.5516,38.3333,94.59880000000001,96.7413,24.5516,62.04223150000001,deep-forcing,90.68337886492206,57.63768845135405,84.07424078220846
g1_video_017,62.4444,22.2972,93.2411,100.0,0.0,63.395356,97.3464,23.4326,100.0,95.7268,95.33070000000001,23.4326,64.72059633333332,deep-forcing,88.83780841347647,61.35601291189485,83.34144931316014
g1_video_018,72.4252,31.3946,98.94969999999999,60.0,6.6667000000000005,77.673847,98.6699,22.2103,100.0,99.51729999999999,98.2621,22.2103,65.66499558333334,deep-forcing,91.08371739619504,65.74026307692307,86.01502653234066
g1_video_019,75.7667,20.2047,96.5424,6.6667000000000005,0.0,77.140159,98.9691,29.430600000000002,94.58330000000001,97.5956,97.9821,29.430600000000002,60.359329916666674,deep-forcing,86.68917284139833,66.47673681202846,82.64668563552436
g1_video_020,52.7351,23.9989,97.0422,6.6667000000000005,0.0,76.270998,98.9293,26.229599999999998,0.41669999999999996,97.92830000000001,98.0877,26.229599999999998,50.37792483333333,deep-forcing,83.33273872892966,45.726855314436335,75.81156204603099
g1_video_021,64.8485,21.075499999999998,94.91420000000001,86.66669999999999,0.0,68.799144,97.8954,21.4004,35.4167,92.58229999999999,95.5461,21.4004,58.378778666666655,deep-forcing,88.34311090615633,46.87939361301115,80.0503674475273
g1_video_022,48.991800000000005,24.0091,96.42389999999999,73.33330000000001,0.0,78.50937,98.4773,17.5789,0.0,98.5222,98.00489999999999,17.5789,54.285805833333335,deep-forcing,87.5903382616836,36.126397334218844,77.29755007619065
g1_video_023,58.19220000000001,31.4581,98.559,6.6667000000000005,0.0,69.138494,99.36080000000001,31.585800000000003,12.9167,99.1318,98.858,31.585800000000003,53.12111616666667,deep-forcing,85.25255546462994,57.85165524818164,79.77237542134029
