video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g1_video_000,59.554399999999994,20.661099999999998,94.5483,80.0,0.0,65.30227,98.24810000000001,21.5854,98.75,97.57430000000001,96.2491,21.5854,62.83819750000001,g1,88.31699544263488,58.17636876124579,82.28887010635705
g1_video_001,63.3252,21.3204,96.8432,100.0,0.0,73.433894,98.97200000000001,26.5099,0.0,97.2311,97.2331,26.5099,58.4482245,g1,91.64224883207038,44.051224158834835,82.12404389742326
g1_video_002,68.93860000000001,21.9539,96.3048,93.3333,0.0,74.447268,99.2673,23.5813,0.0,97.5434,98.4957,23.5813,58.120572333333335,g1,92.61698819467148,41.278168626875576,82.3492242811123
g1_video_003,66.27340000000001,19.663800000000002,96.4795,53.333299999999994,0.0,74.375631,99.1558,22.8633,15.8333,97.7855,97.6378,22.8633,55.52205258333333,g1,88.79516386791593,42.731258523119564,79.58238279895666
g1_video_004,72.8181,21.4042,98.402,0.0,0.0,72.67365,99.2757,26.348399999999998,0.0,98.7985,99.0807,26.348399999999998,51.26247083333333,g1,86.94461723857684,43.93264130107419,78.3422220510763
g1_video_005,67.4174,33.3492,96.3509,40.0,0.0,76.890935,98.6968,26.870500000000003,17.9167,98.1699,97.3004,26.870500000000003,56.65276958333333,g1,87.60572567667214,53.88625598434648,80.861831738207
g1_video_006,59.7791,30.2975,98.4436,13.333300000000001,6.6667000000000005,66.029735,99.2399,31.547900000000002,0.0,99.2538,98.97120000000001,31.547900000000002,52.92588625,g1,85.99062390276548,56.00136197802199,79.99277151781678
g1_video_007,61.785900000000005,21.7043,96.5723,26.6667,100.0,77.354394,99.1422,30.712699999999998,0.0,98.50370000000001,98.5161,30.712699999999998,61.80591616666666,g1,86.55957722429875,68.93946784768289,83.03555534897558
g1_video_008,65.886,26.6345,98.7217,0.0,100.0,75.72054,99.53880000000001,23.1392,100.0,98.962,99.3514,23.1392,67.59111166666666,g1,86.22540406304012,84.08159251851451,85.796641754135
g1_video_009,65.6421,23.1717,97.17519999999999,20.0,0.0,74.343978,99.2491,20.904600000000002,0.0,98.0073,98.7245,20.904600000000002,51.510256500000004,g1,86.81907526570838,39.19253766612867,77.29376774579244
g1_video_010,64.7662,21.7787,96.80250000000001,33.3333,0.0,66.585387,99.1767,32.540200000000006,0.0,97.6559,98.9823,32.540200000000006,53.68011558333333,g1,87.6377794398118,50.99999351316288,80.310222254482
g1_video_011,53.254400000000004,26.7594,97.2081,0.0,0.0,69.699438,99.606,18.8266,0.0,99.3532,99.464,18.8266,48.583144833333336,g1,84.11945151003822,39.430243951410496,75.18160999831267
g1_video_012,75.876,38.4144,97.3948,100.0,53.333299999999994,68.557018,96.8298,28.4924,0.0,97.5935,95.45609999999999,28.4924,65.03664316666665,g1,91.88527284191987,61.976989670329665,85.90361620760183
g1_video_013,68.57900000000001,19.9839,90.402,100.0,0.0,73.31291,97.316,20.415,87.0833,92.4375,94.6512,20.415,63.7163175,g1,88.29939876573142,56.41431892071387,81.92238279672792
g1_video_014,62.20909999999999,23.5023,96.5056,53.333299999999994,0.0,70.088703,99.0554,28.9266,33.3333,96.6237,98.5441,28.9266,57.58739191666667,g1,88.28911931419312,56.348567496953486,81.9010089507452
g1_video_015,56.6716,18.3819,96.9705,0.0,80.0,73.721024,99.09320000000001,25.253700000000002,14.5833,98.7908,98.6769,25.253700000000002,57.283052000000005,g1,83.89703728416289,60.15316614915305,79.14826305716092
g1_video_016,74.2983,30.3218,96.3156,93.3333,0.0,66.571685,97.857,27.982400000000002,26.25,96.1544,96.119,27.982400000000002,61.09882375,g1,91.46283692904473,57.13519782090933,84.59730910741766
g1_video_017,59.92150000000001,21.819,95.21300000000001,100.0,0.0,69.648917,98.04169999999999,21.9382,100.0,97.757,95.7336,21.9382,65.16759308333334,g1,89.76045361800972,59.37776451236747,83.68391579688128
g1_video_018,74.6496,33.8163,96.8939,80.0,0.0,75.198156,98.8224,25.194699999999997,82.08330000000001,98.33330000000001,97.9889,25.194699999999997,65.68127133333334,g1,92.28988347820201,67.65323126642271,87.36255303584616
g1_video_019,75.4839,19.5276,95.6661,60.0,6.6667000000000005,77.832536,98.8335,27.8231,100.0,97.4229,96.7241,27.8231,65.31696133333332,g1,89.94089953984916,65.56776757523572,85.06627314692648
g1_video_020,54.9523,21.7891,96.2269,46.6667,0.0,77.403213,99.017,24.422,1.25,97.9232,97.7684,24.422,53.48673441666668,g1,86.49377662879023,42.390265387179596,77.6730743804681
g1_video_021,66.143,23.9946,95.6066,86.66669999999999,13.333300000000001,73.72037,98.442,28.0006,27.500000000000004,95.5743,96.0029,28.0006,61.08208083333334,g1,89.70369577786462,56.92465515962299,83.1478876542163
g1_video_022,61.974,24.3535,96.27250000000001,86.66669999999999,0.0,78.298174,98.33539999999999,19.8913,0.0,98.07289999999999,97.8026,19.8913,56.796531166666675,g1,90.34189786686866,38.909520128501164,80.05542231919517
g1_video_023,58.7985,31.550299999999996,99.08,6.6667000000000005,0.0,67.130682,99.3599,32.934400000000004,0.41669999999999996,99.67479999999999,98.9295,32.934400000000004,52.28965683333333,g1,85.58141012191469,56.29301055062671,79.7237302076571
g1_video_024,62.661699999999996,20.843,96.6996,100.0,0.0,75.941107,95.9406,28.641699999999997,0.0,93.4931,92.76769999999999,28.641699999999997,57.96918391666667,g1,87.38360332817588,46.05837311669356,79.1185572858794
g1_video_025,56.1114,21.4148,93.7124,93.3333,0.0,73.818377,98.1477,24.9726,91.6667,94.9418,96.2288,24.9726,64.11003975000001,g1,88.10304153738299,62.42822222050612,82.96807767400762
g1_video_026,77.5778,21.3937,94.91380000000001,100.0,0.0,79.633119,97.6033,23.0428,1.25,94.5019,94.49,23.0428,58.95410158333333,g1,91.08045202987411,40.59679732326881,80.98372108855304
g1_video_027,60.7555,26.325300000000002,97.34270000000001,0.0,93.3333,78.989524,99.2331,22.2156,0.0,98.9855,98.32509999999999,22.2156,58.14343533333332,g1,84.56578343033893,61.516020042627794,79.9558307527967
g1_video_028,80.295,25.1691,97.8629,73.33330000000001,100.0,72.057853,98.9236,30.8434,89.16669999999999,98.16279999999999,97.7681,30.8434,74.53551275,g1,92.77850095564013,91.51795015946809,92.5263907964057
g1_video_029,58.5202,20.6705,97.6741,100.0,0.0,74.014466,99.04429999999999,12.876199999999999,0.0,99.1506,98.3118,12.876199999999999,56.09486383333333,g1,91.90782278638613,28.612425073169977,79.2487432437429
g1_video_030,63.7151,21.172,96.8014,80.0,0.0,52.831421,99.4858,26.9598,74.16669999999999,97.3647,99.0432,26.9598,61.54166008333333,g1,91.2015268489281,62.48236928925228,85.45769533699294
g1_video_031,63.1705,27.5262,96.4118,73.33330000000001,0.0,64.151081,99.1578,28.0741,6.25,96.7623,98.0723,28.0741,56.74862341666667,g1,89.8391620923084,51.651504783349225,82.20163063051658
g2_video_000,62.5115,21.0284,94.8374,93.3333,0.0,67.341639,98.1159,20.7626,78.75,97.5084,95.4784,20.7626,62.53584491666666,g2,89.45629988759983,56.68623272508192,82.90228645509625
g2_video_001,60.33539999999999,20.7104,96.2782,100.0,0.0,74.947444,98.7724,26.1083,0.0,97.4499,97.1197,26.1083,58.15250366666667,g2,90.95159651037919,43.181233657417785,81.39752393978691
g2_video_002,68.223,22.4912,96.1509,100.0,0.0,77.042956,99.226,23.718,0.0,97.78869999999999,98.3758,23.718,58.894546333333324,g2,92.96030132161053,41.805970979126286,82.72943525311368
