video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g1_video_000,57.2507,23.7434,97.1408,100.0,0.0,65.722815,96.9491,17.5411,72.7823,97.6593,94.1543,17.5411,61.70707625,CausVid-60s,88.50148125553865,53.60242186848565,81.52166937812805
g1_video_001,63.3081,22.8108,97.0068,93.5484,0.0,47.18821,98.8864,15.8833,0.0,98.2125,98.2327,15.8833,54.24670916666667,CausVid-60s,91.72393286733984,33.42100646366985,80.06334758660584
g1_video_002,58.4095,23.657500000000002,97.05030000000001,6.4516,0.0,74.889708,99.421,14.7479,0.0,98.0565,98.90679999999999,14.7479,48.861559,CausVid-60s,84.81341047431124,32.76832469708788,74.40439331886657
g1_video_003,62.977799999999995,21.962400000000002,97.13730000000001,3.2258,0.0,62.164949,99.0665,22.1975,25.0,98.8737,97.89489999999999,22.1975,51.05819575,CausVid-60s,84.8264127999426,45.84472802113601,77.03007584418128
g1_video_004,69.5273,22.2269,98.815,3.2258,0.0,55.874546,99.0676,25.8156,0.0,99.5434,98.98010000000001,25.8156,49.907653833333335,CausVid-60s,86.75515910695982,43.92529156016156,78.18918559760017
g1_video_005,54.0582,27.6807,98.42530000000001,0.0,0.0,75.079829,99.4611,19.642200000000003,2.8226,99.12910000000001,99.1683,19.642200000000003,49.59246075000001,CausVid-60s,84.2571081350566,41.66053961921284,75.73779443188785
g1_video_006,59.0283,31.329099999999997,99.02919999999999,0.0,0.0,68.198654,99.0011,30.298199999999998,0.0,99.5657,98.8902,30.298199999999998,51.303221166666674,CausVid-60s,84.86802393768184,53.29472527472527,78.55336420509053
g1_video_007,50.8011,20.3545,96.96390000000001,54.838699999999996,100.0,75.806744,98.7641,26.3438,0.0,98.7064,98.1321,26.3438,62.25459533333333,CausVid-60s,86.79587124914931,63.18991945510568,82.07468089034059
g1_video_008,75.9059,24.3555,99.4309,0.0,100.0,77.069529,99.6594,24.0536,19.3548,99.81259999999999,99.66120000000001,24.0536,61.946419083333325,CausVid-60s,88.26016027415317,68.19293322279589,84.2467148638817
g1_video_009,61.9241,23.5563,97.8304,3.2258,0.0,70.636192,99.0227,15.793099999999999,0.0,99.1911,98.6496,15.793099999999999,48.801866,CausVid-60s,85.15598120581343,33.84577876796429,74.89394071824361
g1_video_010,68.4307,22.7587,97.03960000000001,90.3226,0.0,62.748466,98.1616,16.6236,0.0,98.2513,97.8823,16.6236,55.73687216666667,CausVid-60s,91.74975903874092,34.197910157305806,80.2393892624539
g1_video_011,50.857600000000005,26.186500000000002,97.3605,67.7419,0.0,41.427553,99.1097,16.4802,0.0,98.8037,98.698,16.4802,51.09548775000001,CausVid-60s,88.31452644340897,36.449182272400826,77.94145760920733
g1_video_012,77.5146,38.329,98.4017,25.8065,51.612899999999996,67.033225,97.6372,28.671499999999998,0.0,98.86110000000001,96.67660000000001,28.671499999999998,59.10131875000001,CausVid-60s,87.8009924264853,61.829722857142855,82.60673851261681
g1_video_013,56.8316,21.822400000000002,92.3315,100.0,0.0,75.643692,96.22749999999999,12.970300000000002,64.1129,95.5205,92.932,12.970300000000002,60.11355766666667,CausVid-60s,86.1616138707189,45.12076989428541,77.9534450754322
g1_video_014,57.2586,22.0092,96.3893,67.7419,0.0,66.775361,98.2529,24.9574,3.2258,96.8454,97.5975,24.9574,54.66756341666667,CausVid-60s,87.8351858134486,43.61390325065127,78.99092930088914
g1_video_015,57.9913,20.3788,97.5161,6.4516,38.709700000000005,58.561079,99.1589,19.405,0.6048,98.84530000000001,98.1381,19.405,51.26380658333333,CausVid-60s,84.53089061548383,43.470998598447686,76.3189122120766
g1_video_016,68.9495,32.2339,98.0843,74.1935,9.6774,63.671031,98.1043,20.9084,88.3065,98.2736,96.9866,20.9084,64.19145258333333,CausVid-60s,90.40855653907623,64.91174373626374,85.30919397851373
g1_video_017,59.367599999999996,22.8944,95.47670000000001,96.7742,0.0,64.429351,97.7489,23.2807,100.0,97.935,95.8041,23.2807,64.74930425000001,CausVid-60s,89.38883453152809,61.60876657425498,83.83282094007346
g1_video_018,74.9364,33.5601,98.1386,35.4839,0.0,69.166148,99.0941,20.0458,89.1129,99.6915,98.5801,20.0458,61.48794566666667,CausVid-60s,89.80247735822202,62.028351648351645,84.24765221624794
g1_video_019,70.4139,21.4533,95.6039,3.2258,0.0,70.492673,99.06869999999999,21.6435,46.572599999999994,98.0329,97.9065,21.6435,53.83810608333334,CausVid-60s,85.505458083898,50.12570254208655,78.42950697553572
g1_video_020,52.149699999999996,22.703100000000003,95.7038,67.7419,0.0,72.43432,98.6012,20.9097,1.4113,96.0239,96.9453,20.9097,53.79449333333332,CausVid-60s,86.67152089261873,39.21213624254102,77.1796439626032
g1_video_021,57.64,22.3776,97.7027,22.5806,0.0,70.672628,98.8568,21.0849,1.2097,98.8595,98.0365,21.0849,50.84215233333333,CausVid-60s,85.55736233253785,39.12688245768061,76.2712663575664
g1_video_022,54.2816,23.502100000000002,97.16120000000001,35.4839,0.0,76.63776,98.5209,20.4223,0.0,98.6365,98.07289999999999,20.4223,51.92845500000001,CausVid-60s,85.71808520178503,38.894723189670486,76.35341279936213
g1_video_023,61.062000000000005,29.470200000000002,97.8104,3.2258,0.0,57.537489,98.8742,25.832699999999996,0.0,98.9768,98.4171,25.832699999999996,49.75328241666666,CausVid-60s,84.80570378524602,48.38758241758242,77.52207951171332
g1_video_024,62.91,22.219,97.53920000000001,51.612899999999996,0.0,78.276968,97.2458,25.0564,0.0,97.6856,95.6059,25.0564,54.434014,CausVid-60s,86.49681956958489,43.08545419443522,77.81454649455495
g1_video_025,49.408,24.9119,94.6386,77.41940000000001,0.0,68.605709,98.6456,21.9561,39.7177,95.9236,96.3254,21.9561,57.45900908333334,CausVid-60s,86.52033102744493,51.23226479708188,79.46271778137232
g1_video_026,66.7818,22.5823,97.59949999999999,3.2258,0.0,74.762643,98.5497,21.3052,2.4194,98.7291,97.77120000000001,21.3052,50.41932025,CausVid-60s,85.15778371037096,39.80708069304804,76.08764310690637
g1_video_027,65.96809999999999,24.8612,99.497,0.0,100.0,78.039292,99.7081,21.0753,0.0,99.9298,99.7823,21.0753,59.16136600000001,CausVid-60s,86.842117287527,60.56740047724587,81.58717392547078
g1_video_028,75.72710000000001,21.811,98.286,0.0,100.0,69.299769,99.3585,27.6702,39.3145,99.3469,99.03020000000001,27.6702,63.12619741666666,CausVid-60s,87.48954787060153,75.23428863832537,85.0384960241463
g1_video_029,60.906499999999994,21.7283,97.672,80.64519999999999,0.0,69.265519,98.5617,8.3158,0.0,99.39099999999999,97.855,8.3158,53.55473491666667,CausVid-60s,90.3847125198677,24.34435560223333,77.17664113634083
g1_video_030,65.656,22.122700000000002,98.8475,0.0,0.0,58.99971,99.5286,25.186999999999998,0.0,98.5505,99.31790000000001,25.186999999999998,49.44974250000001,CausVid-60s,86.12279195700522,43.161296749631255,77.53049291553043
g1_video_031,61.8417,27.0757,97.7825,3.2258,0.0,61.645912,98.53460000000001,21.7581,16.128999999999998,98.8595,97.1942,21.7581,50.48375933333333,CausVid-60s,84.21195491637673,46.79732571013819,76.72902907512902
g1_video_032,57.6371,23.3661,96.5232,93.5484,0.0,56.225064,98.7889,21.8025,0.0,97.5568,97.9295,21.8025,55.431672,CausVid-60s,90.45528544500633,40.315853752712506,80.42739910654755
g1_video_033,60.5292,24.4172,95.504,100.0,35.4839,68.762769,96.56700000000001,11.1649,14.1129,98.5753,93.986,11.1649,59.18900575,CausVid-60s,88.55842804196142,39.89457451119963,78.82565733580905
g1_video_034,63.6586,17.790300000000002,97.9626,38.709700000000005,0.0,63.467116,97.562,20.3471,45.1613,98.4483,96.3618,20.3471,54.984659666666666,CausVid-60s,86.32566174897988,45.783649547288654,78.21725930864163
g1_video_035,56.938500000000005,29.801299999999998,97.1543,32.2581,38.709700000000005,67.419132,95.262,30.3857,0.4032,98.1722,91.854,30.3857,55.72865266666667,CausVid-60s,81.4926995760322,61.23089744732037,77.44033915028983
