video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g1_video_000,61.1989,20.1086,93.99380000000001,87.5,0.0,65.473729,98.5353,23.328699999999998,100.0,95.8944,94.4485,23.328699999999998,63.65088575000001,causal-forcing-30s,88.13300291846951,59.703818816461116,82.44716609806784
g1_video_001,64.4124,22.4003,96.69640000000001,100.0,0.0,71.021531,98.5113,20.8014,0.0,97.4006,94.7902,20.8014,57.23629425000001,causal-forcing-30s,90.55248452910794,38.53703690546979,80.14939500438031
g1_video_002,71.1425,22.3964,95.7769,75.0,0.0,76.996088,98.6683,24.639,0.0,97.78670000000001,97.1319,24.639,57.01473233333334,causal-forcing-30s,90.59752816176024,42.751439073926775,81.02831034419356
g1_video_003,55.7374,20.7292,95.9422,0.0,0.0,77.986425,98.7636,19.5096,2.7344,97.96390000000001,94.1207,19.5096,48.583085416666655,causal-forcing-30s,81.32525031492945,36.60826880218966,72.3818540123815
g1_video_004,61.9973,21.6058,97.0864,37.5,0.0,74.3848,98.5179,23.5111,0.0,97.08099999999999,97.32079999999999,23.5111,52.70968333333334,causal-forcing-30s,86.45061635059848,40.95640173600118,77.35177342767902
g1_video_005,63.60209999999999,30.304,96.4824,37.5,0.0,78.237826,97.8924,22.672,25.390600000000003,98.2527,91.4299,22.672,55.3696605,causal-forcing-30s,84.00787435353395,51.0905445320916,77.42440838924549
g1_video_006,54.1794,32.2192,97.178,56.25,68.75,67.133408,98.53960000000001,31.2344,0.0,97.9912,97.1501,31.2344,60.98830900000001,causal-forcing-30s,86.813870996319,68.07351648351649,83.0658000937585
g1_video_007,58.827600000000004,22.1441,96.1853,68.75,100.0,76.256283,98.8998,25.3392,0.0,96.3229,96.3573,25.3392,63.70180691666666,causal-forcing-30s,87.844184721011,63.34358814762188,82.94406540633318
g1_video_008,55.0354,24.962,96.88,0.0,75.0,75.129468,99.2351,21.370900000000002,46.875,98.1822,96.9057,21.370900000000002,59.24555566666666,causal-forcing-30s,82.8566135696733,67.36540710174917,79.75837227608847
g1_video_009,67.4221,23.7091,95.0314,0.0,0.0,75.483477,98.8178,17.8284,0.0,97.3776,95.7188,17.8284,49.10142308333334,causal-forcing-30s,83.5193522316999,36.1897509517889,74.0534319757177
