video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group
g1_video_000,62.355799999999995,21.3611,96.792,75.0,0.0,64.505829,98.7208,22.1114,97.5972,97.2381,22.1114,59.79942081818182,thpx_80_10thp_80ths
g1_video_001,63.2972,22.3916,97.2405,18.75,0.0,74.458511,99.1833,27.1876,98.0322,98.1797,27.1876,56.90074645454545,thpx_80_10thp_80ths
g1_video_002,71.8517,23.9938,96.5664,93.75,0.0,70.064145,99.3564,25.9146,98.788,98.66420000000001,25.9146,64.07853136363637,thpx_80_10thp_80ths
g1_video_003,63.5652,19.564300000000003,95.84519999999999,68.75,0.0,71.932625,98.8661,23.6332,97.9728,97.7535,23.6332,60.137829545454544,thpx_80_10thp_80ths
g1_video_004,68.47919999999999,21.9277,98.4953,0.0,0.0,72.096218,99.4104,26.6264,98.9455,99.2553,26.6264,55.62385618181818,thpx_80_10thp_80ths
g1_video_005,67.9159,33.9215,98.4415,6.25,0.0,77.825668,98.8391,25.5774,99.0779,97.92699999999999,25.5774,57.39576072727273,thpx_80_10thp_80ths
g1_video_006,60.08520000000001,31.4984,98.9132,0.0,75.0,68.583018,99.3945,30.7815,99.4684,99.09400000000001,30.7815,63.054519818181824,thpx_80_10thp_80ths
g1_video_007,59.3135,21.970100000000002,96.5288,56.25,100.0,76.965485,99.0873,30.3866,98.7067,98.4081,30.3866,69.81847136363636,thpx_80_10thp_80ths
g1_video_008,71.5103,25.3991,98.6264,0.0,100.0,79.193607,99.5373,26.650800000000004,99.4093,99.31830000000001,26.650800000000004,66.02690063636364,thpx_80_10thp_80ths
g1_video_009,66.518,24.8139,97.43610000000001,0.0,0.0,76.965433,99.1645,29.605500000000003,98.68900000000001,98.37010000000001,29.605500000000003,56.46982118181818,thpx_80_10thp_80ths
g1_video_010,62.2962,21.3654,96.9597,0.0,0.0,66.57313,99.3286,33.8528,98.1456,99.09320000000001,33.8528,55.587948181818184,thpx_80_10thp_80ths
g1_video_011,56.090300000000006,25.598100000000002,97.0082,0.0,0.0,64.890695,99.49510000000001,19.7443,99.3502,99.1887,19.7443,52.828172272727265,thpx_80_10thp_80ths
g1_video_012,79.35140000000001,42.167100000000005,96.89569999999999,87.5,18.75,64.229605,97.1918,29.582000000000004,98.0852,95.8278,29.582000000000004,67.19660045454545,thpx_80_10thp_80ths
g1_video_013,71.3408,20.6035,91.5728,100.0,0.0,76.259054,97.47160000000001,24.4286,93.6716,95.4375,24.4286,63.20127763636364,thpx_80_10thp_80ths
g1_video_014,59.9244,24.5593,97.5631,6.25,0.0,72.396088,99.2871,28.4355,97.8344,98.896,28.4355,55.780126181818176,thpx_80_10thp_80ths
g1_video_015,58.830400000000004,18.5691,96.65979999999999,0.0,37.5,73.40133,98.9765,22.5428,98.9434,98.4221,22.5428,56.94438454545455,thpx_80_10thp_80ths
g1_video_016,74.1519,31.485000000000003,96.943,75.0,12.5,67.439418,98.2064,28.758499999999998,97.4737,97.09,28.758499999999998,64.34603800000001,thpx_80_10thp_80ths
g1_video_017,57.994299999999996,21.6815,95.5966,100.0,0.0,70.209922,98.63380000000001,22.2341,97.5749,97.1604,22.2341,62.11996563636364,thpx_80_10thp_80ths
g1_video_018,73.3843,35.111,97.1901,81.25,12.5,73.352933,98.7919,24.215,98.2177,97.9276,24.215,65.10504845454544,thpx_80_10thp_80ths
g1_video_019,72.7407,22.0381,97.9571,12.5,0.0,76.073991,99.2321,24.0777,99.1175,98.697,24.0777,56.95562645454547,thpx_80_10thp_80ths
g1_video_020,52.7283,23.1146,98.1879,6.25,0.0,71.911292,99.15559999999999,24.9106,99.0276,98.6226,24.9106,54.43809927272727,thpx_80_10thp_80ths
g1_video_021,59.479899999999994,22.7249,94.0276,100.0,0.0,70.316285,97.5306,28.614800000000002,93.4572,94.09100000000001,28.614800000000002,62.62337136363636,thpx_80_10thp_80ths
g1_video_022,53.919700000000006,23.8285,96.2947,62.5,0.0,77.994103,98.2791,18.7699,98.72710000000001,97.7155,18.7699,58.79986390909092,thpx_80_10thp_80ths
g1_video_023,61.82,33.043499999999995,98.7372,12.5,0.0,69.567085,99.2056,31.645,99.6096,98.6463,31.645,57.85629863636364,thpx_80_10thp_80ths
g1_video_024,69.7483,21.4978,96.5946,100.0,0.0,77.222935,95.78989999999999,29.5206,95.6825,93.0682,29.5206,64.42231227272727,thpx_80_10thp_80ths
g1_video_025,59.1353,20.6854,95.2125,87.5,0.0,71.24195,98.8931,26.115500000000004,96.9886,97.41929999999999,26.115500000000004,61.755195454545465,thpx_80_10thp_80ths
g1_video_026,72.92739999999999,22.7864,94.0207,100.0,0.0,78.889415,97.4993,23.8155,95.07480000000001,94.6279,23.8155,63.950628636363646,thpx_80_10thp_80ths
g1_video_027,59.5178,27.697699999999998,97.30879999999999,0.0,100.0,80.401359,99.2518,22.282799999999998,98.9637,98.7791,22.282799999999998,64.22598718181817,thpx_80_10thp_80ths
g1_video_028,78.3608,26.3605,97.538,0.0,100.0,70.621929,99.1706,32.5032,98.0309,98.0488,32.5032,66.64890263636364,thpx_80_10thp_80ths
g1_video_029,60.082,21.820700000000002,98.0788,100.0,0.0,74.373222,99.0476,13.076799999999999,98.8336,98.2406,13.076799999999999,61.51182927272726,thpx_80_10thp_80ths
g1_video_030,65.0474,21.1848,96.3668,62.5,0.0,61.700339,99.4772,25.845299999999998,96.7495,98.63889999999999,25.845299999999998,59.39595809090909,thpx_80_10thp_80ths
g1_video_031,67.5403,27.3015,97.3413,68.75,0.0,74.26948,99.1203,25.9282,98.0967,97.9431,25.9282,62.01991636363637,thpx_80_10thp_80ths
g2_video_000,62.3529,21.8293,96.6323,87.5,0.0,63.643322,98.6318,21.4497,97.2655,96.40570000000001,21.4497,60.65092927272727,thpx_80_20thp_80ths
g2_video_001,63.5913,22.2319,97.6657,0.0,0.0,74.357615,99.16199999999999,29.030499999999996,98.36120000000001,97.8298,29.030499999999996,55.56913772727273,thpx_80_20thp_80ths
g2_video_002,69.1669,23.8615,96.4131,93.75,0.0,71.930814,99.37270000000001,25.1518,98.7527,98.5942,25.1518,63.831410363636344,thpx_80_20thp_80ths
g2_video_003,66.9141,19.5161,95.77560000000001,68.75,0.0,75.252757,98.6318,26.4669,98.4757,97.2432,26.4669,61.226641545454534,thpx_80_20thp_80ths
g2_video_004,69.31349999999999,22.022,98.7424,0.0,0.0,72.701038,99.3848,26.1475,98.8133,99.20750000000001,26.1475,55.67995799999999,thpx_80_20thp_80ths
g2_video_005,68.6569,34.0074,98.0783,25.0,0.0,77.887734,98.82560000000001,25.203999999999997,98.8656,97.8132,25.203999999999997,59.04933945454545,thpx_80_20thp_80ths
g2_video_006,60.653400000000005,31.2911,98.7206,0.0,87.5,69.404864,99.4429,30.799300000000002,99.4119,99.1605,30.799300000000002,64.28944218181819,thpx_80_20thp_80ths
g2_video_007,58.656299999999995,21.6187,96.9476,6.25,100.0,76.394924,99.1348,30.0819,98.8445,98.4974,30.0819,65.1370930909091,thpx_80_20thp_80ths
g2_video_008,70.4468,25.3338,98.7197,0.0,100.0,79.360557,99.5614,26.375500000000002,99.4755,99.3685,26.375500000000002,65.91065972727273,thpx_80_20thp_80ths
g2_video_009,66.56609999999999,25.1031,97.34270000000001,0.0,0.0,76.780465,99.1454,29.182599999999997,98.5344,98.32379999999999,29.182599999999997,56.37828772727273,thpx_80_20thp_80ths
g2_video_010,60.397800000000004,22.2568,96.9085,12.5,0.0,69.474973,99.2837,32.7214,98.06960000000001,99.0583,32.7214,56.672043,thpx_80_20thp_80ths
g2_video_011,55.279999999999994,25.4917,97.4407,0.0,0.0,61.594052,99.5145,19.5363,99.4089,99.2063,19.5363,52.45534109090909,thpx_80_20thp_80ths
g2_video_012,79.1682,41.5133,97.0581,75.0,25.0,65.682425,97.20309999999999,28.735300000000002,98.0584,95.5889,28.735300000000002,66.52209318181816,thpx_80_20thp_80ths
g2_video_013,74.2971,20.874100000000002,92.9609,100.0,0.0,76.003336,97.8884,23.4597,93.5908,96.0594,23.4597,63.50849418181817,thpx_80_20thp_80ths
g2_video_014,60.348800000000004,24.455299999999998,96.96900000000001,43.75,0.0,71.750919,99.1859,28.054299999999998,97.21300000000001,98.7615,28.054299999999998,58.95845627272728,thpx_80_20thp_80ths
g2_video_015,58.9183,18.7547,97.179,0.0,87.5,74.115247,99.0438,21.711,99.2491,98.5362,21.711,61.51984972727273,thpx_80_20thp_80ths
g2_video_016,71.1931,31.272,97.1663,100.0,0.0,67.772798,98.2261,29.653200000000002,96.8966,97.1161,29.653200000000002,65.35903618181818,thpx_80_20thp_80ths
g2_video_017,59.945499999999996,22.1524,95.5831,100.0,0.0,70.012946,98.26270000000001,22.5303,97.4726,96.3381,22.5303,62.25708600000001,thpx_80_20thp_80ths
g2_video_018,75.7674,33.651199999999996,97.3665,75.0,37.5,77.253057,98.9993,22.7699,98.5639,98.1463,22.7699,67.07158700000001,thpx_80_20thp_80ths
g2_video_019,76.5861,21.206500000000002,96.8694,25.0,0.0,75.817593,99.1237,26.0606,98.5654,98.2232,26.0606,58.50119027272728,thpx_80_20thp_80ths
g2_video_020,52.373599999999996,23.2269,98.1422,6.25,0.0,72.390937,99.24300000000001,25.980700000000002,99.17960000000001,98.8132,25.980700000000002,54.689167,thpx_80_20thp_80ths
g2_video_021,57.6666,21.825,93.9741,100.0,0.0,70.518197,97.7646,27.6341,93.659,94.4239,27.6341,62.28178154545455,thpx_80_20thp_80ths
g2_video_022,55.9778,23.9892,95.78179999999999,81.25,0.0,76.269611,98.185,19.5262,98.80449999999999,97.53070000000001,19.5262,60.6219100909091,thpx_80_20thp_80ths
g2_video_023,61.93300000000001,32.2209,98.8156,6.25,0.0,69.6206,99.2279,31.1383,99.55279999999999,98.67660000000001,31.1383,57.143090909090915,thpx_80_20thp_80ths
g2_video_024,71.0924,21.1375,97.2716,100.0,0.0,79.320488,96.387,29.7877,96.975,93.6871,29.7877,65.04058981818181,thpx_80_20thp_80ths
g2_video_025,57.2076,20.8626,94.1241,93.75,0.0,71.997884,98.7815,26.060699999999997,96.625,97.0974,26.060699999999997,62.05158945454545,thpx_80_20thp_80ths
g2_video_026,76.4475,22.983700000000002,95.2454,100.0,6.25,78.996167,97.739,24.2455,96.4234,95.62190000000001,24.2455,65.29073336363636,thpx_80_20thp_80ths
g2_video_027,60.15279999999999,27.233200000000004,97.7673,0.0,75.0,80.57033,99.3313,22.7383,99.2415,98.9418,22.7383,62.155893636363636,thpx_80_20thp_80ths
g2_video_028,77.78580000000001,26.327299999999997,97.2663,25.0,100.0,72.189637,99.0592,32.1945,97.4068,97.64620000000001,32.1945,68.824567,thpx_80_20thp_80ths
g2_video_029,58.2013,21.4086,97.7882,68.75,0.0,73.054002,99.2145,13.7267,98.786,98.6383,13.7267,58.481300181818185,thpx_80_20thp_80ths
g2_video_030,66.72409999999999,21.3209,96.342,75.0,0.0,60.528598,99.5205,24.977,97.3197,98.6836,24.977,60.490308909090906,thpx_80_20thp_80ths
g2_video_031,67.45139999999999,27.502,96.6931,75.0,0.0,75.210694,99.1609,25.674400000000002,98.21069999999999,98.0017,25.674400000000002,62.598117636363625,thpx_80_20thp_80ths
g3_video_000,58.5317,20.4571,94.8911,62.5,0.0,63.03202,98.8258,20.5539,97.6379,96.8695,20.5539,57.62299272727273,thpx_80_25thp_80ths
g3_video_001,62.2311,21.8979,97.7524,50.0,0.0,74.515096,99.14269999999999,28.4451,98.6493,97.84089999999999,28.4451,59.90178145454545,thpx_80_25thp_80ths
