video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g1_video_000,63.5366,21.3246,95.9958,62.5,0.0,54.424968,97.9224,23.264499999999998,43.75,95.5567,96.62809999999999,23.264499999999998,56.514014,diff_thp_20thp_90ths,87.50687811375451,51.12998156171905,80.23149880334742
g1_video_001,58.6376,23.3452,96.512,18.75,0.0,74.321078,98.8674,12.987599999999999,0.0,97.0712,98.1501,12.987599999999999,49.3024815,diff_thp_20thp_90ths,84.8986346403518,30.614463175615676,74.04180034740457
g1_video_002,65.8579,22.5903,93.9991,68.75,0.0,69.022078,98.6616,23.686799999999998,26.171899999999997,95.4087,97.6345,23.686799999999998,57.12247316666666,diff_thp_20thp_90ths,88.70994678456233,48.20763676735691,80.60948478112125
g1_video_003,52.1447,21.7945,96.77550000000001,37.5,0.0,64.603552,98.27510000000001,6.8686,0.0,96.66890000000001,97.3426,6.8686,48.23683766666668,diff_thp_20thp_90ths,84.67671178701211,22.800547365494662,72.30147890270862
g1_video_004,70.1236,21.2708,96.9955,37.5,0.0,70.137823,98.8696,27.117599999999996,0.0,96.5769,98.0977,27.117599999999996,53.65059358333334,diff_thp_20thp_90ths,88.09908960267563,44.68417041847822,79.41610576583615
g1_video_005,48.8475,26.2639,96.7576,0.0,0.0,75.566505,98.5452,19.8213,4.2969,98.0748,97.8986,19.8213,48.82446708333333,diff_thp_20thp_90ths,81.90773516810252,41.220333004328474,73.77025473534772
g1_video_006,57.94010000000001,31.684099999999997,97.8713,0.0,0.0,68.848195,99.002,29.7116,0.0,97.6688,98.2333,29.7116,50.88924958333333,diff_thp_20thp_90ths,83.84544116797005,52.65010989010989,77.60637491239802
g1_video_007,57.07489999999999,20.9703,94.8716,0.0,100.0,72.209982,98.4631,25.944200000000002,0.0,96.4599,97.8186,25.944200000000002,57.47973183333334,diff_thp_20thp_90ths,82.41307263404576,63.183546292077565,78.56716736565212
g1_video_008,72.80330000000001,24.9144,97.51530000000001,0.0,100.0,78.73406,99.1198,25.4426,73.4375,97.8051,98.3399,25.4426,66.12954666666667,diff_thp_20thp_90ths,86.18889682023223,83.26767552837086,85.60465256185996
g1_video_009,64.46889999999999,22.4331,94.4301,0.0,0.0,69.938194,98.6528,7.6579999999999995,0.0,96.421,97.9375,7.6579999999999995,46.63313283333334,diff_thp_20thp_90ths,83.60109139397042,24.11679009676199,71.70423113452873
g1_video_010,64.3567,20.2377,95.8795,0.0,0.0,73.29959,98.5946,16.4972,0.0,96.5357,97.7658,16.4972,48.30533250000001,diff_thp_20thp_90ths,83.80446567441513,32.28739978222762,73.50105249597763
g1_video_011,51.56309999999999,23.3767,95.819,0.0,0.0,66.148458,99.0553,15.374699999999999,0.0,95.8703,98.4275,15.374699999999999,46.75081316666667,diff_thp_20thp_90ths,82.22147876328468,33.25978632049609,72.42914027472696
g1_video_012,76.66539999999999,41.7466,95.9028,68.75,68.75,66.566207,96.9297,33.8504,0.0,96.3713,95.7829,33.8504,64.59714225,diff_thp_20thp_90ths,89.26017919468894,70.94824175824176,85.59779170739951
g1_video_013,61.831100000000006,23.0432,92.5625,100.0,0.0,74.78767,96.7913,16.4727,60.156200000000005,91.54560000000001,95.3457,16.4727,60.750722499999995,diff_thp_20thp_90ths,87.56193465480968,48.86500038267425,79.82254780038258
g1_video_014,56.246700000000004,24.9508,97.5091,0.0,0.0,73.754013,99.0219,29.483700000000002,3.9062,98.1459,98.70100000000001,29.483700000000002,50.93358441666667,diff_thp_20thp_90ths,83.80003763666048,50.82054848031531,77.20413980539145
g1_video_015,53.0471,19.3644,97.8843,0.0,18.75,69.182279,98.58869999999999,6.8134,0.0,98.31309999999999,98.0199,6.8134,47.23138158333334,diff_thp_20thp_90ths,82.90478319954488,24.782157877259777,71.28025813508786
