video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g1_video_000,63.3023,21.1619,95.60459999999999,68.75,0.0,63.423686,98.6234,20.5319,100.0,97.6357,96.6133,20.5319,62.181557166666664,period_10s,88.60854770655551,57.37060899044736,82.36095996333388
g1_video_001,65.089,21.662699999999997,98.1335,0.0,0.0,74.486484,99.25540000000001,28.7902,0.0,98.5415,98.4071,28.7902,51.09634033333333,period_10s,85.3630134465521,46.797596472396194,77.64993005172093
g1_video_002,70.8847,22.5052,96.5884,93.75,0.0,68.169008,99.3614,30.6394,4.6875,99.0689,98.7616,30.6394,59.58795899999999,period_10s,93.44241811974985,50.56197693452681,84.86632988270523
g1_video_003,64.4864,20.557,95.5847,43.75,0.0,76.696047,98.73570000000001,25.6033,29.296899999999997,98.1851,97.355,25.6033,56.32112058333334,period_10s,87.32957658409848,49.64495376097912,79.7926520194746
g1_video_004,73.9974,22.1314,98.5683,0.0,0.0,69.586321,99.4397,28.485100000000003,0.0,98.9904,99.32,28.485100000000003,51.58364341666666,period_10s,87.3811385866839,46.791696307908545,79.26325013092882
g1_video_005,69.505,33.923199999999994,98.5539,31.25,6.25,79.359051,98.8807,25.058200000000003,48.8281,99.0681,97.9524,25.058200000000003,59.473904250000004,period_10s,88.24224660466709,60.663909933413706,82.72657927041641
g1_video_006,59.8399,30.9387,98.7654,0.0,0.0,69.257271,99.5082,30.6477,0.0,99.3057,99.2422,30.6477,51.51273091666667,period_10s,85.30480024700566,53.678791208791196,78.97959843936277
g1_video_007,57.2192,22.6073,97.5407,0.0,100.0,74.469725,99.14070000000001,29.5129,0.0,99.1351,98.68010000000001,29.5129,58.984885416666664,period_10s,84.18850562660658,68.25558115110468,81.0019207315062
g1_video_008,70.1112,24.6612,98.7994,0.0,100.0,78.180197,99.5536,24.9999,100.0,99.3749,99.3529,24.9999,68.33609975,period_10s,86.97445548700185,84.73959959225596,86.52748430805266
g1_video_009,63.8891,24.2393,97.3071,25.0,0.0,74.696321,99.13640000000001,26.1449,0.0,97.38210000000001,98.4559,26.1449,52.69966841666667,period_10s,86.67786810093679,45.70135505394114,78.48256549153766
g1_video_010,68.9311,22.4321,96.8747,6.25,0.0,69.005609,99.2381,32.0129,0.0,98.6804,99.0271,32.0129,52.03874241666667,period_10s,86.44584598704202,50.879713729699674,79.33261953557356
g1_video_011,58.727,27.2217,98.6745,0.0,18.75,53.599107,99.5516,18.4917,0.0,99.51830000000001,99.3622,18.4917,49.36565058333333,period_10s,85.22566395240398,43.137098993768,76.80795096067678
