video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g1_video_000,58.6921,20.9502,93.91850000000001,93.3333,0.0,64.519794,96.8877,21.4845,84.1667,95.0929,93.3253,21.4845,61.98795783333333,deep-forcing,86.7002421017324,58.268651973465744,81.01392407607906
g1_video_001,63.7783,21.179100000000002,95.53580000000001,46.6667,6.6667000000000005,75.331393,98.6442,23.708299999999998,0.0,96.61070000000001,96.8811,23.708299999999998,54.05921608333333,deep-forcing,86.9061546221248,42.20658558084221,77.96624081386828
g1_video_002,66.5644,22.6623,94.22749999999999,60.0,0.0,74.206277,98.4794,21.4803,0.0,93.1238,97.4897,21.4803,54.14283141666667,deep-forcing,87.62517242393926,39.46719892194945,77.99357772354129
g1_video_003,59.0492,20.9159,95.59309999999999,26.6667,0.0,75.257899,98.9075,25.0586,2.5,97.2149,97.6252,25.0586,51.98729991666667,deep-forcing,85.20872263830805,42.78025492933283,76.723029096513
g1_video_004,71.0473,21.5583,99.1116,0.0,0.0,71.231504,99.2452,27.4876,0.0,99.0856,99.0495,27.4876,51.275350333333336,deep-forcing,86.8426990432169,45.29280177306882,78.53271958918728
g1_video_005,66.4467,33.5168,96.32,6.6667000000000005,0.0,77.638417,98.9024,27.227899999999998,43.75,98.9142,98.1057,27.227899999999998,56.22639308333333,deep-forcing,85.46268754783954,60.562948749134584,80.48273978809854
g1_video_006,53.9248,31.707,98.66420000000001,13.333300000000001,26.6667,69.500791,99.1181,31.969199999999997,0.0,99.08019999999999,98.7626,31.969199999999997,54.558007583333335,deep-forcing,84.95378226550413,60.46432901098902,80.05589161460111
g1_video_007,53.7855,20.4287,97.7816,40.0,100.0,76.88523,99.198,31.172499999999996,0.0,99.58550000000001,98.7935,31.172499999999996,62.40025249999999,deep-forcing,86.94581377753104,68.54832655046991,83.26631633211882
g1_video_008,69.0933,28.147499999999997,98.9211,0.0,100.0,79.025207,99.6626,25.1458,100.0,99.7107,99.7155,25.1458,68.71395891666667,deep-forcing,87.1117280169914,87.3498941255512,87.15936123870337
g1_video_009,74.9479,25.162699999999997,98.2557,0.0,0.0,77.28314,99.3086,22.1199,0.0,99.1311,98.92410000000001,22.1199,51.43775333333334,deep-forcing,87.25410474506975,41.92718888279675,78.18872157261515
g1_video_010,65.4711,21.892,96.9896,40.0,0.0,63.642018,99.2192,29.784899999999997,0.0,97.4894,99.09,29.784899999999997,53.61359316666667,deep-forcing,88.33515172788809,48.05181183538878,80.27848374938823
g1_video_011,49.3872,26.979999999999997,97.7869,0.0,0.0,66.145731,99.5523,19.863,0.0,99.4809,99.4485,19.863,48.208960916666676,deep-forcing,83.63331076371534,40.72416964623571,75.05148254021942
g1_video_012,74.6677,38.8876,95.9395,100.0,6.6667000000000005,71.482659,96.71549999999999,28.986600000000003,0.0,95.636,95.1986,28.986600000000003,61.09728825,deep-forcing,90.87629604725602,53.186746593406596,83.33838615648614
g1_video_013,68.24090000000001,20.5496,91.42869999999999,100.0,0.0,73.8379,97.6179,19.4785,84.1667,91.2465,95.8982,19.4785,63.49528333333333,deep-forcing,88.92352090331786,55.78273844918258,82.29536441249081
g1_video_014,60.338499999999996,25.352400000000003,95.8883,100.0,0.0,72.332384,98.914,25.243700000000004,71.6667,96.2584,98.23570000000001,25.243700000000004,64.12281533333334,deep-forcing,91.19404204274132,62.92615774450395,85.54046518309384
g1_video_015,57.248900000000006,18.822,95.77759999999999,0.0,26.6667,74.069285,98.4131,23.4067,0.0,98.4401,97.8151,23.4067,51.17218208333333,deep-forcing,82.95755285551472,44.21872693211216,75.2097876708342
g1_video_016,73.2718,29.3738,96.7365,100.0,33.3333,73.275254,98.24619999999999,27.7513,90.8333,96.7032,97.1974,27.7513,70.37277950000001,deep-forcing,92.65727022262521,77.16259406593406,89.55833499128698
g1_video_017,59.7322,22.5084,94.1624,93.3333,0.0,68.209957,98.1394,23.4599,100.0,95.48780000000001,96.2749,23.4599,64.56401308333334,deep-forcing,88.86696818306021,61.53443174534531,83.40046089551723
g1_video_018,68.7184,30.652,97.41069999999999,46.6667,0.0,78.149338,99.32839999999999,25.9201,55.833299999999994,99.2625,98.8857,25.9201,60.562269833333325,deep-forcing,89.72762408249656,62.065066412546344,84.19511254850651
g1_video_019,71.5402,20.288600000000002,96.6124,0.0,6.6667000000000005,77.084443,99.0091,27.541300000000003,13.333300000000001,97.7318,98.2337,27.541300000000003,52.96523691666666,deep-forcing,85.69077223805944,49.03620570216326,78.35985893088021
g1_video_020,51.4265,23.133100000000002,96.51769999999999,0.0,0.0,75.977878,98.8498,26.050600000000003,2.5,97.7999,98.04260000000001,26.050600000000003,49.695723166666674,deep-forcing,82.42551581707774,45.428481474397046,75.0261089485416
g1_video_021,71.2251,24.9529,95.85470000000001,46.6667,0.0,78.957524,98.60640000000001,24.4893,69.58330000000001,97.1459,97.5596,24.4893,60.79422700000001,deep-forcing,88.47632583265235,61.30961518045295,83.04298370221247
g1_video_022,53.03679999999999,24.8019,96.63040000000001,86.66669999999999,0.0,78.231207,98.3852,20.076,0.0,97.6318,97.98949999999999,20.076,56.12712558333334,deep-forcing,89.06587036503879,39.42759608627494,79.13821550928603
g1_video_023,57.3721,30.321199999999997,98.9256,0.0,0.0,61.318853,99.4525,32.4912,53.333299999999994,99.69980000000001,99.1208,32.4912,55.377212750000005,deep-forcing,84.94974494824864,68.67793087962876,81.69538213452466
g1_video_024,56.7788,21.5368,93.5337,100.0,0.0,55.853898,92.89359999999999,29.839399999999998,0.0,90.2432,88.5033,29.839399999999998,54.91850816666667,deep-forcing,81.8554956574033,47.86208845265767,75.05681421645417
g1_video_025,52.8444,23.470299999999998,96.0865,33.3333,0.0,74.135926,99.1423,24.868100000000002,94.58330000000001,97.1341,98.60900000000001,24.868100000000002,59.92294383333334,deep-forcing,85.38739374158985,63.75787054126478,81.06148910152483
g1_video_026,79.3481,23.7188,96.2498,6.6667000000000005,6.6667000000000005,78.878387,98.1659,22.348100000000002,65.4167,97.2338,96.7356,22.348100000000002,57.81472391666666,deep-forcing,86.17278490639164,58.4092111737222,80.62007015985776
g1_video_027,55.7361,25.2216,98.564,0.0,93.3333,78.10746,99.56739999999999,22.4347,0.0,99.8357,99.5705,22.4347,57.900454999999994,deep-forcing,84.89448464506775,60.98117437529441,80.11182259111308
g1_video_028,74.0884,25.2887,96.2313,100.0,100.0,61.479716,98.3584,30.3846,97.0833,95.8583,96.4727,30.3846,75.46916800000001,deep-forcing,92.28386871224035,91.09782212165909,92.04665939412409
g1_video_029,60.057700000000004,21.6165,98.1821,40.0,0.0,73.642913,99.3909,13.290799999999999,0.0,99.5299,99.1229,13.290799999999999,51.51037608333332,deep-forcing,88.22269586892865,29.732822160271212,76.52472112719717
g1_video_030,63.902499999999996,21.8891,96.9775,66.6667,0.0,62.184501,99.2727,26.400000000000002,57.0833,96.3231,98.91250000000001,26.400000000000002,59.66765841666666,deep-forcing,89.88700776823376,58.215605868594544,83.55272738830591
g1_video_031,57.08370000000001,27.2321,97.1144,0.0,0.0,66.197321,99.3839,23.7422,32.9167,98.6432,98.8253,23.7422,52.07341841666667,deep-forcing,84.17883105520268,53.171168986474605,77.97729864145705
g2_video_000,59.3423,20.2291,96.6932,0.0,0.0,56.458177,97.8873,18.293799999999997,0.0,96.03009999999999,97.3138,18.293799999999997,46.71179808333333,pyramid-forcing,82.5505459777944,34.25564192659063,72.89156516755364
g2_video_001,55.2294,23.2232,95.81490000000001,0.0,0.0,72.228748,98.1731,16.8923,0.0,93.7098,97.70060000000001,16.8923,47.48869566666667,pyramid-forcing,81.6280935636626,34.81960793247511,72.2663964374251
g2_video_002,64.1137,21.6971,92.6714,66.6667,0.0,71.159948,98.3306,24.3424,35.0,93.7763,97.41499999999999,24.3424,57.459629,pyramid-forcing,87.44483361115557,50.44782205908697,80.04543130074185
g2_video_003,50.637600000000006,22.3401,96.018,0.0,0.0,67.711205,98.3728,9.3441,18.75,95.0681,97.9451,9.3441,47.12759208333333,pyramid-forcing,81.41559277871526,30.465226434870786,71.22551950994637
g2_video_004,69.0206,21.4395,95.48400000000001,0.0,0.0,65.589274,98.5117,25.555099999999996,0.0,93.1961,97.9746,25.555099999999996,49.36049783333334,pyramid-forcing,83.8807376624486,43.08568980562656,75.72172809108419
g2_video_005,58.794999999999995,33.8797,96.9257,0.0,0.0,75.275889,98.1629,25.2724,22.916700000000002,96.03,97.6322,25.2724,52.51357408333333,pyramid-forcing,82.79235833777831,53.34635122600581,76.9031569154238
g2_video_006,55.3049,30.304199999999998,96.12819999999999,0.0,0.0,67.153393,98.4871,30.439,0.0,93.97330000000001,97.62650000000001,30.439,49.98796608333333,pyramid-forcing,81.88742486745443,53.44945054945055,76.19983000385365
g2_video_007,51.4041,20.1863,92.99969999999999,0.0,100.0,72.39869,97.99369999999999,25.549300000000002,0.0,93.0209,97.57860000000001,25.549300000000002,56.39004916666667,pyramid-forcing,80.1836690440942,62.1986415481918,76.58666354491372
g2_video_008,71.2817,23.227600000000002,97.2572,0.0,100.0,79.033757,98.5599,25.614700000000003,63.74999999999999,94.5155,97.9257,25.614700000000003,64.73172975,pyramid-forcing,84.84088367522511,79.91493080617838,83.85569310141577
g2_video_009,47.2592,24.4438,94.2002,0.0,0.0,70.26075,97.7644,7.041899999999999,0.0,94.05160000000001,97.2765,7.041899999999999,44.94502083333333,pyramid-forcing,79.73541030121953,24.85275783246971,68.75887980746957
g2_video_010,63.273599999999995,22.0623,94.6576,33.3333,0.0,60.712924,98.7116,33.8048,0.0,95.2492,98.1475,33.8048,52.81313533333333,pyramid-forcing,85.93573222345073,52.588961102144516,79.26637799918949
g2_video_011,63.07040000000001,22.3852,95.2937,0.0,0.0,62.45451,98.38130000000001,15.312100000000001,0.0,95.2639,97.8474,15.312100000000001,47.11005083333333,pyramid-forcing,83.17666354189538,32.494227718872835,73.04017637729086
g2_video_012,73.9528,40.7067,94.8901,26.6667,0.0,62.614301,96.7888,33.3104,0.0,94.1975,96.0112,33.3104,54.37074175,pyramid-forcing,85.02339877698172,56.604835164835166,79.3396860545524
g2_video_013,61.225300000000004,21.668499999999998,92.92909999999999,53.333299999999994,0.0,64.815481,96.7839,14.3119,47.9167,90.8385,96.33420000000001,14.3119,54.539065083333334,pyramid-forcing,84.23428427873063,42.54718112137439,75.89686364725938
g2_video_014,45.299,25.0363,95.90990000000001,0.0,0.0,76.514045,97.91879999999999,21.2739,1.25,95.04860000000001,97.45519999999999,21.2739,48.081637083333334,pyramid-forcing,80.1253109188958,41.21275440202983,72.34279961552261
g2_video_015,46.9437,19.4673,96.267,0.0,80.0,67.315079,97.67240000000001,15.1824,0.0,96.0434,97.10379999999999,15.1824,52.59812324999999,pyramid-forcing,80.35610667861917,46.30117319082885,73.5451199810611
g2_video_016,66.1381,32.7179,94.4209,53.333299999999994,26.6667,67.870858,97.50189999999999,25.7376,70.41669999999999,93.7742,96.88130000000001,25.7376,62.59975483333334,pyramid-forcing,86.43585534961962,70.74526635143985,83.29773754998367
g2_video_017,61.571200000000005,23.4265,94.5159,0.0,0.0,74.247732,98.04220000000001,18.141099999999998,95.8333,94.6471,97.60459999999999,18.141099999999998,56.347561000000006,pyramid-forcing,82.39310911309938,56.334782806792646,77.18144385183804
g2_video_018,61.662099999999995,29.6772,94.25139999999999,6.6667000000000005,13.333300000000001,64.561093,97.8948,27.8851,13.750000000000002,93.879,97.43119999999999,27.8851,52.40641608333334,pyramid-forcing,82.5766540820396,56.65431202445329,77.39218567052234
g2_video_019,54.2281,22.182299999999998,95.7518,0.0,0.0,72.446273,98.1294,17.329800000000002,15.8333,94.0967,97.7051,17.329800000000002,48.75271441666666,pyramid-forcing,81.50942158115136,38.420341716805716,72.89160560828222
g2_video_020,45.6454,21.7778,95.7743,0.0,0.0,73.715834,98.3395,20.6095,5.0,95.14489999999999,97.8888,20.6095,47.87546116666667,pyramid-forcing,80.56969216956801,39.1049507936969,72.27674389439379
g2_video_021,46.969100000000005,23.1479,96.71610000000001,0.0,66.6667,76.635667,97.0798,23.1055,0.0,96.3344,96.68719999999999,23.1055,53.87065558333333,pyramid-forcing,80.02035297182667,54.927723866309385,75.00182715072322
g2_video_022,55.570299999999996,24.080099999999998,93.5048,6.6667000000000005,0.0,76.224761,98.0901,15.6723,0.0,93.5534,97.59360000000001,15.6723,48.05236341666666,pyramid-forcing,81.59572343917063,34.081127087950705,72.09280416892663
g2_video_023,51.2398,25.6843,95.8841,0.0,0.0,71.292898,98.1563,19.2045,0.0,94.4073,97.71,19.2045,47.73197483333333,pyramid-forcing,81.14944187171236,39.09000216227905,72.7375539298257
g2_video_024,50.488,22.7596,94.4969,6.6667000000000005,0.0,73.638769,96.3865,19.3717,0.0,95.4804,96.0009,19.3717,47.88843075,pyramid-forcing,79.80762307332404,37.21843273381573,71.28978500542237
g2_video_025,34.2675,21.7388,97.4912,0.0,0.0,64.217467,97.4017,10.0497,0.0,94.9735,96.9104,10.0497,43.92499725,pyramid-forcing,78.24503284957417,26.257118994849144,67.84745007862917
g2_video_026,66.3813,26.0709,94.2902,0.0,0.0,74.729276,97.2278,25.298199999999998,0.41669999999999996,93.1361,96.8749,25.298199999999998,49.97696466666667,pyramid-forcing,82.08118327725737,46.15941753787698,74.8968301293813
g2_video_027,62.9381,24.575,96.3611,0.0,80.0,78.413202,97.4375,19.6568,12.5,93.5078,97.0642,19.6568,56.84254183333332,pyramid-forcing,82.23908844272749,57.848107602885726,77.36089227475914
g2_video_028,71.2501,25.335800000000003,95.6561,0.0,100.0,68.085724,98.12049999999999,31.4099,88.33330000000001,92.7003,97.7643,31.4099,66.67216033333334,pyramid-forcing,83.87650885904871,92.2576245047995,85.55273198819887
g2_video_029,68.1995,23.566699999999997,95.3059,0.0,0.0,69.52228,98.29480000000001,11.5471,0.0,94.2422,97.794,11.5471,47.50163166666666,pyramid-forcing,83.71638306724563,29.187153205192562,72.81053709483501
g2_video_030,64.4917,20.9114,96.8087,0.0,0.0,62.859319,99.1611,27.821800000000003,29.166700000000002,94.4121,98.6761,27.821800000000003,51.84422658333333,pyramid-forcing,84.31292926064823,52.30024602271484,77.91039261306155
