video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g1_video_000,66.3131,20.9038,95.7036,93.75,0.0,62.720173,98.7769,25.0468,82.42190000000001,97.42110000000001,96.1128,25.0468,63.68474775000001,f0_native_self_forcing,90.85007799136508,62.15066019012612,85.11019443111729
g1_video_001,58.9156,22.0547,96.00649999999999,0.0,0.0,73.41258,99.2951,22.6656,0.0,97.1883,98.6508,22.6656,49.237898333333334,f0_native_self_forcing,83.84841652778097,40.34274115203139,75.14728145263106
g1_video_002,63.368500000000004,22.9224,96.104,56.25,0.0,71.669378,99.3543,23.7297,0.0,98.0058,98.70750000000001,23.7297,54.48677316666667,f0_native_self_forcing,89.08279343727004,42.12184990694478,79.69060473120499
g1_video_003,56.8531,20.4001,96.84819999999999,0.0,0.0,66.527079,99.2919,16.668,1.5625,97.3694,98.7838,16.668,47.581006583333334,f0_native_self_forcing,83.79259441546016,32.96929501770413,73.62793453590896
g1_video_004,65.9986,21.144199999999998,98.1743,6.25,0.0,70.860742,99.3209,24.3917,0.0,98.725,99.104,24.3917,50.69676183333333,f0_native_self_forcing,86.34907887989407,41.59970894179608,77.39920489227447
g1_video_005,63.7456,31.789099999999998,97.3801,25.0,0.0,79.436186,99.0128,24.1055,67.9688,97.9458,98.1891,24.1055,59.056540500000004,f0_native_self_forcing,86.59661282762664,63.02295863951179,81.88188199000368
g1_video_006,54.8801,30.995299999999997,97.1423,0.0,25.0,68.777121,98.9545,30.79,0.0,97.1654,98.1856,30.79,52.723360083333326,f0_native_self_forcing,83.08723174326491,58.835164835164846,78.2368183616449
g1_video_007,51.22409999999999,21.8594,97.3073,0.0,100.0,77.460862,99.1301,27.921499999999998,0.0,98.9117,98.6438,27.921499999999998,58.36502183333334,f0_native_self_forcing,83.1566461947013,65.98121018124532,79.7215589920101
g1_video_008,68.554,27.985,98.76,0.0,100.0,78.321139,99.6005,24.4954,82.8125,99.4548,99.53269999999999,24.4954,67.00095325000001,f0_native_self_forcing,86.84044787317664,86.52097348891445,86.7765529963242
g1_video_009,65.2465,24.9287,97.28750000000001,0.0,0.0,72.114154,99.1601,24.052,0.0,98.649,98.44030000000001,24.052,50.32752116666666,f0_native_self_forcing,85.1938554448329,43.88593437483107,76.93227123083254
g1_video_010,61.7869,20.5938,96.7551,6.25,0.0,61.218669,99.3568,27.0606,0.0,98.6198,99.1672,27.0606,49.822455749999996,f0_native_self_forcing,85.43169384053422,44.145777609600515,77.17451059434748
g1_video_011,51.4353,24.9438,98.2713,0.0,0.0,57.232181,99.51050000000001,20.4969,0.0,99.3184,99.2341,20.4969,47.578281749999995,f0_native_self_forcing,83.9089933923449,39.98984246252694,75.1251632063813
g1_video_012,75.818,40.5305,97.6722,100.0,56.25,69.711118,97.8472,30.9363,0.0,98.1467,96.7904,30.9363,66.21989316666667,f0_native_self_forcing,93.12453171841004,65.24593406593408,87.54881218791485
g1_video_013,66.57560000000001,21.6642,92.6872,93.75,0.0,71.174571,97.41760000000001,17.8034,89.45309999999999,92.63550000000001,96.3457,17.8034,63.10918925000001,f0_native_self_forcing,88.77901548720058,54.72524399002263,81.968261187765
