video_id,aesthetic_quality,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group
g1_video_000,0.656045,0.966415,0.666667,0.0,62.476173,0.988145,0.089747,0.975954,0.968003,0.089747,6.7876896,c1_self_forcing_baseline_72
g1_video_001,0.632147,0.966415,0.111111,0.0,77.759389,0.990857,0.033111,0.975954,0.981695,0.033111,8.248379000000002,c1_self_forcing_baseline_72
g1_video_002,0.70545,0.966415,0.777778,0.0,71.290766,0.992582,0.051916,0.975954,0.984357,0.051916,7.679713400000002,c1_self_forcing_baseline_72
g1_video_003,0.594764,0.966415,0.222222,0.0,74.518338,0.992838,0.058553,0.975954,0.982969,0.058553,7.937060600000001,c1_self_forcing_baseline_72
g1_video_004,0.687647,0.966415,0.111111,0.0,67.303607,0.989353,0.058154,0.975954,0.986326,0.058154,7.213672100000001,c1_self_forcing_baseline_72
g1_video_005,0.684605,0.966415,0.444444,0.0,78.388426,0.990276,0.063782,0.975954,0.98185,0.063782,8.3559534,c1_self_forcing_baseline_72
g1_video_006,0.553542,0.966415,0.0,0.0,67.75513,0.991121,0.069296,0.975954,0.985524,0.069296,7.236627799999999,c1_self_forcing_baseline_72
g1_video_007,0.573314,0.966415,0.0,0.0,75.390511,0.990355,0.008658,0.975954,0.983186,0.008658,7.989705099999999,c1_self_forcing_baseline_72
g1_video_008,0.688706,0.966415,0.0,0.0,75.532373,0.996194,0.065676,0.975954,0.995777,0.065676,8.0286771,c1_self_forcing_baseline_72
g1_video_009,0.628552,0.966415,0.0,0.0,74.025589,0.993302,0.04279,0.975954,0.98994,0.04279,7.866533199999999,c1_self_forcing_baseline_72
g1_video_010,0.636166,0.966415,0.222222,0.0,66.884398,0.992084,0.020736,0.975954,0.989955,0.020736,7.170866600000001,c1_self_forcing_baseline_72
g1_video_011,0.527048,0.966415,0.0,0.0,67.382889,0.992631,0.043368,0.975954,0.987818,0.043368,7.191949100000002,c1_self_forcing_baseline_72
g1_video_012,0.77025,0.966415,1.0,0.0,63.021503,0.966734,0.098045,0.975954,0.950979,0.098045,6.8847925000000005,c1_self_forcing_baseline_72
g1_video_013,0.700395,0.966415,0.888889,0.0,73.840879,0.976699,0.073455,0.975954,0.961218,0.073455,7.9457359,c1_self_forcing_baseline_72
g1_video_014,0.573497,0.966415,0.333333,0.0,72.052025,0.992203,0.047552,0.975954,0.987617,0.047552,7.697614799999999,c1_self_forcing_baseline_72
g1_video_015,0.566567,0.966415,0.0,0.0,74.271012,0.988035,0.054741,0.975954,0.981654,0.054741,7.885911900000002,c1_self_forcing_baseline_72
g1_video_016,0.752336,0.966415,1.0,0.0,73.773965,0.980393,0.065922,0.975954,0.966015,0.065922,7.954692200000001,c1_self_forcing_baseline_72
g1_video_017,0.597214,0.966415,1.0,0.0,75.724833,0.978367,0.055132,0.975954,0.965293,0.055132,8.131834000000001,c1_self_forcing_baseline_72
g1_video_018,0.798959,0.966415,0.222222,0.0,78.456236,0.99364,0.073006,0.975954,0.991346,0.073006,8.3550784,c1_self_forcing_baseline_72
g1_video_019,0.773932,0.966415,0.0,0.0,78.515807,0.993106,0.02793,0.975954,0.985402,0.02793,8.326647599999998,c1_self_forcing_baseline_72
g1_video_020,0.518524,0.966415,0.111111,0.0,74.916046,0.989674,0.066805,0.975954,0.980739,0.066805,7.9592073,c1_self_forcing_baseline_72
g1_video_021,0.678086,0.966415,0.888889,0.0,78.003864,0.984954,0.046936,0.975954,0.964798,0.046936,8.3556832,c1_self_forcing_baseline_72
g1_video_022,0.570559,0.966415,0.333333,0.0,78.850216,0.989934,0.10853,0.975954,0.988851,0.10853,8.3892322,c1_self_forcing_baseline_72
g1_video_023,0.592377,0.966415,0.333333,0.0,68.722759,0.992528,0.036701,0.975954,0.985623,0.036701,7.364239099999997,c1_self_forcing_baseline_72
g1_video_024,0.618257,0.966415,1.0,0.0,73.731622,0.966363,0.067784,0.975954,0.935729,0.067784,7.932990800000001,c1_self_forcing_baseline_72
g2_video_000,0.639088,0.964771,0.888889,0.0,66.000322,0.984299,0.065239,0.973445,0.95454,0.065239,7.153583200000002,c2_headkv_aligned_baseline_72
g2_video_001,0.637604,0.964771,0.222222,0.0,77.022437,0.987895,0.006718,0.973445,0.977386,0.006718,8.1799196,c2_headkv_aligned_baseline_72
g2_video_002,0.689107,0.964771,0.777778,0.0,73.20501,0.98991,0.027867,0.973445,0.98036,0.027867,7.8636115,c2_headkv_aligned_baseline_72
g2_video_003,0.591962,0.964771,0.222222,0.0,73.994015,0.989724,0.065839,0.973445,0.975681,0.065839,7.884349799999998,c2_headkv_aligned_baseline_72
g2_video_004,0.690529,0.964771,0.222222,0.0,66.066771,0.987201,0.053336,0.973445,0.98353,0.053336,7.0995141,c2_headkv_aligned_baseline_72
g2_video_005,0.675828,0.964771,0.444444,0.0,77.109312,0.989872,0.047751,0.973445,0.981191,0.047751,8.223436500000002,c2_headkv_aligned_baseline_72
g2_video_006,0.551346,0.964771,0.222222,0.0,68.62555,0.990272,0.102466,0.973445,0.985431,0.102466,7.351796900000002,c2_headkv_aligned_baseline_72
g2_video_007,0.602442,0.964771,0.0,0.0,76.002073,0.991079,0.010857,0.973445,0.982943,0.010857,8.0538467,c2_headkv_aligned_baseline_72
g2_video_008,0.677546,0.964771,0.0,0.0,75.987431,0.996069,0.080063,0.973445,0.995952,0.080063,8.075534000000001,c2_headkv_aligned_baseline_72
g2_video_009,0.634218,0.964771,0.0,0.0,73.745602,0.993505,0.050724,0.973445,0.990807,0.050724,7.840379600000001,c2_headkv_aligned_baseline_72
g2_video_010,0.656792,0.964771,0.444444,0.0,68.205793,0.991586,0.017827,0.973445,0.98958,0.017827,7.3262065,c2_headkv_aligned_baseline_72
g2_video_011,0.542747,0.964771,0.0,0.0,67.821458,0.993497,0.054305,0.973445,0.991375,0.054305,7.2395903000000015,c2_headkv_aligned_baseline_72
g2_video_012,0.767151,0.964771,1.0,0.0,62.442038,0.963237,0.076759,0.973445,0.943237,0.076759,6.820739699999999,c2_headkv_aligned_baseline_72
g2_video_013,0.690913,0.964771,1.0,0.0,73.057945,0.97289,0.058345,0.973445,0.95464,0.058345,7.873129400000001,c2_headkv_aligned_baseline_72
g2_video_014,0.593442,0.964771,0.333333,0.0,71.407376,0.993291,0.043697,0.973445,0.990378,0.043697,7.634342999999999,c2_headkv_aligned_baseline_72
