video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g1_video_000,58.6292,20.9069,93.6863,93.75,0.0,64.022456,96.8576,21.5649,79.29690000000001,95.2524,93.2555,21.5649,61.565588,deep-forcing-30s,86.65813277110936,57.61553140827995,80.84961249854348
g1_video_001,65.8968,20.9128,98.1147,100.0,0.0,74.956072,99.0596,27.1428,0.0,98.1158,98.1143,27.1428,59.121306,deep-forcing-30s,92.8741201132408,44.46028155962098,83.19135240251683
g1_video_002,65.8293,23.574,93.4051,87.5,0.0,72.828192,98.8476,20.1415,0.0,94.0171,97.8471,20.1415,56.17761599999999,deep-forcing-30s,89.95975685642345,38.63667881661558,79.69514124846188
g1_video_003,62.9918,20.4057,97.2856,6.25,0.0,72.45518,99.2526,25.2266,1.1719,98.3687,98.6846,25.2266,50.60994,deep-forcing-30s,85.42705203662203,42.28327193187575,76.79829601567278
g1_video_004,69.308,20.9662,98.9118,0.0,0.0,72.452799,99.2856,25.4807,0.0,99.0857,99.1215,25.4807,50.84108325,deep-forcing-30s,86.58471278696275,42.67132439591329,77.80203510875286
g1_video_005,63.2413,34.9241,97.6705,18.75,0.0,77.299312,98.9871,30.5651,17.5781,98.0566,98.363,30.5651,55.50001766666667,deep-forcing-30s,86.1773282313447,57.86389159611976,80.51464090429971
g1_video_006,56.1191,33.3196,98.6674,0.0,25.0,69.953573,99.3241,31.302200000000003,0.0,99.3643,98.975,31.302200000000003,53.610622750000005,deep-forcing-30s,84.5144577143151,59.39802197802197,79.49117056705647
g1_video_008,72.53540000000001,25.6337,99.2271,0.0,100.0,76.74325,99.7009,24.8632,18.3594,99.854,99.7829,24.8632,61.79692083333333,deep-forcing-30s,87.77903553505453,69.73871583234266,84.17097159451217
g1_video_009,56.1234,25.3035,94.303,0.0,0.0,76.053208,98.9821,26.105600000000003,0.0,98.2128,98.413,26.105600000000003,49.966850666666666,deep-forcing-30s,82.98469059594458,46.40602488165384,75.66895745308643
g1_video_010,66.7209,22.1877,96.5187,87.5,0.0,65.650898,99.1572,32.202,0.0,97.5613,98.9828,32.202,58.22362483333333,deep-forcing-30s,92.0189197727508,50.915766103187046,83.79828903883805
g1_video_011,56.191500000000005,25.7905,97.3929,0.0,0.0,62.916868,99.6083,17.4299,0.0,99.2564,99.5049,17.4299,47.96009733333332,deep-forcing-30s,84.61055666338105,37.21452333330759,75.13134999736636
