video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g1_video_000,58.6574,20.9037,93.7105,93.75,0.0,64.037593,96.8579,21.5627,79.29690000000001,95.2538,93.2556,21.5627,61.57073275000001,deep-forcing-30s,86.66796473638858,57.61086505565858,80.85654480024257
g1_video_001,65.9649,20.906,98.0998,100.0,0.0,74.953118,99.06,27.1579,0.0,98.1147,98.11410000000001,27.1579,59.12736816666668,deep-forcing-30s,92.8814229290005,44.472096329531325,83.19955760910666
g1_video_002,65.9303,23.5594,93.36330000000001,87.5,0.0,72.818033,98.8476,20.0961,0.0,94.018,97.847,20.0961,56.17298608333332,deep-forcing-30s,89.96670810756697,38.57652869267065,79.6886722245877
g1_video_003,63.0356,20.4127,97.2967,6.25,0.0,72.528758,99.2527,25.2125,1.1719,98.3691,98.6846,25.2125,50.6189215,deep-forcing-30s,85.43622773110339,42.27269661120204,76.80352150712312
g1_video_004,69.35040000000001,20.9618,98.9028,0.0,0.0,72.458019,99.2857,25.4849,0.0,99.08409999999999,99.1215,25.4849,50.84450991666666,deep-forcing-30s,86.58912543507597,42.672847721498464,77.80586989236046
g1_video_005,63.2213,34.9064,97.6524,18.75,0.0,77.308253,98.9871,30.570999999999998,16.0156,98.0568,98.3629,30.570999999999998,55.36689608333334,deep-forcing-30s,86.17047520778063,57.490297272661664,80.43443962075683
g1_video_006,56.1137,33.2976,98.7055,0.0,25.0,69.952224,99.32379999999999,31.31,0.0,99.3642,98.9749,31.31,53.61266033333333,deep-forcing-30s,84.52134617894339,59.40659340659341,79.49839562447339
g1_video_007,61.35,21.2371,97.2449,0.0,100.0,76.790792,99.0104,30.7587,0.0,98.2724,98.4662,30.7587,59.490766,deep-forcing-30s,84.44940095500239,68.66169684847831,81.29186013369757
g1_video_008,72.4492,25.6417,99.2266,0.0,100.0,76.746018,99.7007,24.8611,17.968799999999998,99.854,99.78280000000001,24.8611,61.75766816666667,deep-forcing-30s,87.76552277900369,69.64701668680449,84.14182156056384
g1_video_009,56.0345,25.3012,94.281,0.0,0.0,76.055926,98.98169999999999,26.1009,0.0,98.21809999999999,98.413,26.1009,49.95726883333333,deep-forcing-30s,82.96717447516903,46.399243742905036,75.65358832871622
g1_video_010,66.71770000000001,22.1832,96.5175,87.5,0.0,65.642924,99.1573,32.1973,0.0,97.5604,98.9828,32.1973,58.22136866666667,deep-forcing-30s,92.01806808456178,50.907438934923135,83.79594225463404
g1_video_011,56.1919,25.789099999999998,97.404,0.0,0.0,62.896707,99.6082,17.4197,0.0,99.2555,99.5047,17.4197,47.95745891666667,deep-forcing-30s,84.61263263001636,37.20233070513464,75.13057224504003
g1_video_012,72.78559999999999,39.3575,97.4743,100.0,56.25,69.0069,97.5067,26.1509,0.0,98.046,96.4411,26.1509,64.93082500000001,deep-forcing-30s,92.27396458427431,59.98725274725274,85.81662221687
g1_video_013,64.2467,20.413500000000003,88.432,93.75,0.0,72.278673,95.903,19.2102,94.5312,89.8,93.6978,19.2102,62.62277275,deep-forcing-30s,85.12505527398613,55.392260276617264,79.17849627451236
g1_video_014,62.0243,24.2729,97.8582,25.0,0.0,68.123554,99.2788,27.0137,4.6875,97.724,98.9201,27.0137,52.659729500000005,deep-forcing-30s,86.83519436098238,47.819925935631126,79.03214067591213
g1_video_015,59.443900000000006,18.934,95.4604,0.0,68.75,73.369157,99.062,22.947300000000002,0.0,98.3331,98.5953,22.947300000000002,54.820204749999995,deep-forcing-30s,83.87615247125638,52.209258724409814,77.54277372188707
g1_video_016,67.3137,29.7178,94.8986,100.0,25.0,67.079564,97.0226,25.597900000000003,82.8125,93.2676,95.27839999999999,25.597900000000003,66.965547,deep-forcing-30s,89.29650439925828,73.12956043956044,86.06311560731872
g1_video_017,61.8453,21.6082,93.0358,100.0,0.0,72.466182,96.9273,24.1209,100.0,96.729,94.6344,24.1209,65.45733183333333,deep-forcing-30s,88.37329166444596,61.62819820376391,83.02427297230955
g1_video_018,72.8086,35.4077,96.8351,100.0,12.5,75.822952,98.53790000000001,21.3357,65.23440000000001,99.2834,97.8275,21.3357,66.41074599999999,deep-forcing-30s,93.48692813187985,61.81408007463225,87.15235852043034
g1_video_019,75.03229999999999,20.194000000000003,96.3489,0.0,0.0,76.640329,98.9935,28.1558,94.92190000000001,97.2642,98.0182,28.1558,59.47707741666667,deep-forcing-30s,85.99119954798414,65.06833836578039,81.8066273115434
