video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g1_video_000,54.7975,20.7093,92.738,100.0,0.0,63.519455,95.58449999999999,20.3889,87.0968,94.3419,91.036,20.3889,61.71677125,deep-forcing-60s,84.59475898679776,56.89540569760527,79.05488832895927
g1_video_001,68.0023,20.7542,95.9927,100.0,0.0,71.026537,99.02109999999999,27.0432,0.0,97.3684,98.1563,27.0432,58.70066141666667,deep-forcing-60s,92.6184202717034,44.23937633694486,82.9426114847517
g1_video_002,68.6521,22.6584,96.1129,67.7419,0.0,74.942943,99.2322,21.4853,5.6452,97.913,98.6976,21.4853,56.21390358333333,deep-forcing-60s,90.69622985878095,40.843146608862675,80.7256132087973
g1_video_003,61.3107,20.3499,94.843,0.0,0.0,70.920269,98.7177,27.9967,11.8952,97.187,97.6034,27.9967,50.73504741666665,deep-forcing-60s,83.2348522473462,47.89656570418243,76.16719493871344
g1_video_004,70.0703,21.6589,98.3699,3.2258,0.0,71.18045,99.3112,25.822200000000002,0.0,98.2277,99.0683,25.822200000000002,51.06307916666666,deep-forcing-60s,86.67406747230727,43.53338759624073,78.04593149709396
g1_video_005,60.895900000000005,31.9955,96.1242,6.4516,45.1613,76.097724,98.4149,26.187700000000003,29.0323,98.41680000000001,97.6364,26.187700000000003,57.71683533333333,deep-forcing-60s,84.0096996171113,64.87205398611606,80.18217049091224
g1_video_006,58.04820000000001,30.8191,98.1704,0.0,38.709700000000005,69.130395,99.0346,30.382900000000003,0.0,98.7283,98.4293,30.382900000000003,54.31964958333333,deep-forcing-60s,84.21384083778167,61.12974219780221,79.59702110978579
g1_video_007,58.8449,22.1539,96.2387,9.6774,100.0,77.445158,99.02879999999999,28.919,0.0,98.4898,98.5359,28.919,59.85437983333333,deep-forcing-60s,84.67661315238864,67.28432116021715,81.19815475395434
g1_video_008,69.7115,24.7476,98.8653,0.0,100.0,78.088005,99.64110000000001,23.7472,100.0,99.24770000000001,99.6525,23.7472,68.12067541666666,deep-forcing-60s,87.07429027740822,83.42372298116501,86.34417681815958
g1_video_009,61.673199999999994,23.3545,96.146,3.2258,0.0,72.584823,98.6641,26.2546,0.0,97.0294,97.85340000000001,26.2546,50.25336858333333,deep-forcing-60s,83.85727132436197,45.20011954314134,76.12584096811784
