video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g10_video_000,62.3444,20.3317,96.3715,0.0,0.0,58.963445,97.9462,16.9437,5.0,95.70530000000001,97.3698,16.9437,47.32664541666666,sta_minus_r20,82.9411912366743,34.060365835436606,73.16502615642676
g10_video_001,54.055600000000005,22.5475,95.33239999999999,0.0,0.0,74.456717,98.1047,17.985,0.0,92.8135,97.6208,17.985,47.575101416666676,sta_minus_r20,81.11627115827666,35.545535279899305,72.00212398260119
g10_video_002,62.3668,22.167,94.0137,40.0,0.0,73.202858,98.6233,22.5146,40.8333,94.4773,97.8761,22.5146,55.7157965,sta_minus_r20,85.87658256825634,50.18841764091716,78.7389495827885
g10_video_003,46.246500000000005,21.7359,95.6326,0.0,0.0,74.568004,98.16810000000001,5.6493,0.0,95.1547,97.7175,5.6493,45.04349199999999,sta_minus_r20,80.47286306244419,21.419476651247557,68.66218578020487
g10_video_004,68.7685,21.188599999999997,96.3114,0.0,0.0,64.119671,98.4989,26.6482,0.0,93.8193,98.0481,26.6482,49.504239250000005,sta_minus_r20,84.15036154028634,44.11058095804407,76.14240542383789
g10_video_005,53.8545,31.874599999999997,96.9246,0.0,0.0,73.842675,98.1234,26.670500000000004,0.0,96.9953,97.5716,26.670500000000004,50.21063958333334,sta_minus_r20,82.15999258820507,49.30824175824176,75.5896424222124
g10_video_006,55.8102,30.7134,96.3028,0.0,0.0,64.090527,98.4681,30.872,0.0,94.7196,97.8623,30.872,49.97591058333333,sta_minus_r20,82.22384506022355,53.92527472527473,76.56413099323379
g10_video_007,54.378499999999995,20.392,92.9675,0.0,100.0,70.510917,98.0984,22.7259,0.0,93.48140000000001,97.61959999999999,22.7259,56.07500974999999,sta_minus_r20,80.78981209329783,59.24055794521712,76.47996126368169
g10_video_008,71.88210000000001,24.110699999999998,96.8199,0.0,100.0,78.072111,97.9415,26.394000000000002,53.333299999999994,93.6271,97.18130000000001,26.394000000000002,63.81300091666668,sta_minus_r20,84.04675989427608,78.85803436012577,83.00901478744602
g10_video_009,39.9224,23.9424,95.82260000000001,0.0,0.0,61.98802,97.8923,1.5782999999999998,0.0,95.923,97.3562,1.5782999999999998,43.00029333333334,sta_minus_r20,79.38244067762939,18.49644760720657,67.20524206354483
g10_video_010,60.219500000000004,20.270599999999998,92.9315,0.0,0.0,69.806764,98.0285,18.553900000000002,0.0,91.7925,97.42450000000001,18.553900000000002,47.298472000000004,sta_minus_r20,81.25874422622832,34.570629840995274,71.9211213491817
g10_video_011,60.29259999999999,22.0634,96.3745,0.0,0.0,59.601664,98.593,14.945400000000001,0.0,95.3731,98.1502,14.945400000000001,46.694938666666665,sta_minus_r20,83.23153777277416,31.86511873228669,72.95825396467667
g10_video_012,69.94019999999999,37.0486,94.8169,6.6667000000000005,13.333300000000001,62.617861,97.01920000000001,28.468500000000002,0.0,93.9453,96.3189,28.468500000000002,52.38699675,sta_minus_r20,83.05622040650172,53.950725934065936,77.23512151201456
g10_video_013,60.67979999999999,21.6165,92.4765,26.6667,0.0,66.78899,96.85780000000001,15.2991,33.3333,91.047,96.4157,15.2991,51.37337416666667,sta_minus_r20,82.11519337113874,40.048064380954926,73.70176757310199
g10_video_014,47.653400000000005,25.308999999999997,95.4983,0.0,0.0,73.238305,97.7876,25.7169,5.4167,93.7994,97.2902,25.7169,48.952225416666664,sta_minus_r20,80.03896604100842,47.300358385090284,73.4912445098248
g10_video_015,45.3086,19.5469,96.3797,0.0,73.33330000000001,68.935107,97.6893,14.431099999999999,0.0,95.2809,97.0998,14.431099999999999,51.86965058333333,sta_minus_r20,79.99789528368537,44.19816695404385,72.83794961775706
g10_video_016,60.9993,31.971,94.2594,26.6667,6.6667000000000005,69.19149,97.47200000000001,24.9526,21.6667,93.1718,96.8715,24.9526,54.07014916666666,sta_minus_r20,83.43195572676983,54.024200382623945,77.55040465794066
g10_video_017,61.4487,23.006899999999998,95.4295,0.0,0.0,75.180327,97.97749999999999,17.3954,95.8333,95.55399999999999,97.50750000000001,17.3954,56.39404391666667,sta_minus_r20,82.65355565247472,55.22046226436951,77.16693697485368
g10_video_018,70.9248,34.4181,95.1627,0.0,26.6667,68.638268,98.2212,28.6735,19.1667,95.0735,97.775,28.6735,55.282830666666676,sta_minus_r20,84.20889062689228,61.50497693761846,79.66810788903751
g10_video_019,60.39489999999999,22.0571,94.9881,0.0,0.0,73.433601,98.2865,22.453500000000002,23.75,94.41629999999999,97.8845,22.453500000000002,50.84316675,sta_minus_r20,82.5140199100319,45.88853397371994,75.1889227227695
g10_video_020,44.6098,22.209699999999998,96.0609,0.0,0.0,73.970332,98.1978,20.6256,6.6667000000000005,94.0384,97.7275,20.6256,47.894360999999996,sta_minus_r20,80.12896661777286,39.831581275764286,72.06948954937114
g10_video_021,48.0301,22.6176,96.91300000000001,0.0,80.0,76.795283,97.09100000000001,21.7396,0.0,96.9526,96.7566,21.7396,54.88628191666667,sta_minus_r20,80.37070897519071,55.72073146811024,75.44071347377461
g10_video_022,55.992,23.1793,93.8069,6.6667000000000005,0.0,74.472887,97.9475,17.3992,0.0,93.3536,97.4135,17.3992,48.13589891666666,sta_minus_r20,81.53752780305314,35.34579058327477,72.29918035909746
g10_video_023,51.973499999999994,22.7287,94.8675,0.0,0.0,72.628627,97.8977,18.5426,0.0,94.5775,97.435,18.5426,47.43281058333333,sta_minus_r20,80.83059490299115,36.285619145436435,71.92159975148022
g10_video_024,45.8563,22.4192,95.9399,6.6667000000000005,0.0,69.563038,96.557,12.0007,0.0,96.5368,96.1474,12.0007,46.14064483333333,sta_minus_r20,79.73680103809411,28.87921980338706,69.5652847911527
g10_video_025,35.9105,21.9518,97.3101,0.0,0.0,68.111229,97.5055,10.2519,0.0,93.6906,96.9877,10.2519,44.33093574999999,sta_minus_r20,78.31577286190267,26.629000563737037,67.97841840226954
g10_video_026,64.25380000000001,26.0305,93.9186,0.0,0.0,74.257457,97.08539999999999,25.5903,0.0,93.33749999999999,96.6723,25.5903,49.72801308333334,sta_minus_r20,81.55351607645207,46.350653626064734,74.5129435863746
