video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g1_video_000,62.1201,19.9199,94.8704,100.0,0.0,61.778818,98.3497,21.0073,100.0,97.10640000000001,95.0428,21.0073,64.26689316666666,pyramid-forcing-best10-30s,89.78595881779844,57.020222637517094,83.23281158174218
g1_video_001,64.23020000000001,21.814,97.7427,62.5,0.0,76.014951,99.1428,26.335199999999997,0.0,98.5624,98.39750000000001,26.335199999999997,55.92291258333333,pyramid-forcing-best10-30s,89.89752470871176,44.20611894079217,80.75924355512784
g1_video_002,72.0342,20.8919,96.9793,56.25,0.0,68.500677,99.1333,22.8314,0.0,98.5122,98.1583,22.8314,54.67688975000001,pyramid-forcing-best10-30s,90.34500644258362,39.70779208142525,80.21756357035194
g1_video_003,65.1075,20.4586,96.006,0.0,0.0,75.780714,98.8606,26.680500000000002,73.4375,97.8954,96.8769,26.680500000000002,56.48201783333334,pyramid-forcing-best10-30s,83.96281125194972,61.49673323805403,79.46959564917059
g1_video_004,68.3124,20.9364,98.8481,0.0,0.0,74.153425,99.3325,23.9638,0.0,98.9785,99.1605,23.9638,50.63745208333333,pyramid-forcing-best10-30s,86.43989525527587,40.98345964646738,77.34860813351418
g1_video_005,69.2036,33.3789,97.20689999999999,25.0,0.0,78.18849,98.914,25.4419,43.75,99.1098,98.0095,25.4419,57.80374916666667,pyramid-forcing-best10-30s,87.4832839267548,58.60031138649724,81.70668941870329
g1_video_006,53.4998,30.4272,98.59989999999999,0.0,87.5,67.598157,99.3854,28.736299999999996,0.0,99.3646,99.0775,28.736299999999996,57.743763083333334,pyramid-forcing-best10-30s,84.17237238932348,69.07835164835164,81.15356824112912
g1_video_007,62.5894,21.8961,97.2448,31.25,100.0,76.686297,99.06049999999999,29.7459,0.0,98.8593,98.4333,29.7459,62.12595808333333,pyramid-forcing-best10-30s,87.16244414508903,68.01183592935524,83.33232250194227
g1_video_008,70.9344,24.5608,98.7124,0.0,100.0,76.627576,99.61710000000001,25.236199999999997,100.0,99.51769999999999,99.5769,25.236199999999997,68.33493966666667,pyramid-forcing-best10-30s,87.2351857779711,84.92871475678221,86.77389157373332
g1_video_009,67.1819,24.8732,97.46340000000001,0.0,0.0,73.424873,99.24929999999999,26.6293,0.0,98.6341,98.7119,26.6293,51.066439416666675,pyramid-forcing-best10-30s,85.68536397921449,46.67913006880681,77.88411719713295
