video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
video_000,61.3884,20.421,94.8358,100.0,0.0,64.297648,98.62729999999999,21.5157,94.14059999999999,97.588,95.2091,21.5157,64.12827066666667,pyramid-forcing-thp35-30s,89.96848822472303,57.9310473152989,83.5610000428382
video_001,61.6155,20.9913,97.57000000000001,50.0,0.0,76.566383,99.0198,27.290799999999997,0.0,98.3109,97.15270000000001,27.290799999999997,54.65068191666666,pyramid-forcing-thp35-30s,87.87090244962486,44.67808406632018,79.23233877296393
video_002,71.8951,22.0991,97.1985,100.0,0.0,70.391342,99.3287,23.1923,0.0,99.06049999999999,98.667,23.1923,58.75207016666666,pyramid-forcing-thp35-30s,94.14769879973261,40.952734047400256,83.50870584926614
video_003,57.8188,20.1851,95.221,25.0,0.0,75.206943,99.01050000000001,23.4988,1.5625,97.5183,97.23859999999999,23.4988,51.31327858333333,pyramid-forcing-thp35-30s,84.76229130134527,40.32457939601029,75.87474892027828
video_004,67.4933,21.182100000000002,98.58930000000001,0.0,0.0,72.62804,99.3864,24.5962,0.0,98.74730000000001,99.1863,24.5962,50.53376166666666,pyramid-forcing-thp35-30s,86.25746052063279,41.851068088622554,77.37618203423074
video_005,70.1545,33.7032,98.0418,6.25,0.0,79.190584,99.0393,24.976100000000002,100.0,98.7148,98.3213,24.976100000000002,61.11397366666666,pyramid-forcing-thp35-30s,86.48555381673026,67.44626373626375,82.67769580063695
video_006,56.8709,31.8571,98.5411,0.0,62.5,71.864458,99.4268,30.413600000000002,0.0,99.1804,98.99900000000001,30.413600000000002,56.67224650000001,pyramid-forcing-thp35-30s,84.63483396424328,65.92153846153846,80.89217486370232
video_007,59.28600000000001,21.881800000000002,97.6602,12.5,100.0,76.313696,99.2764,31.760899999999996,0.0,99.1227,98.7762,31.760899999999996,60.694899666666664,pyramid-forcing-thp35-30s,85.60217541343663,70.21607245179275,82.52495482110785
video_008,67.557,24.293100000000003,98.5545,0.0,100.0,78.511354,99.5403,25.517,100.0,99.2125,99.33229999999999,25.517,68.16958783333332,pyramid-forcing-thp35-30s,86.48565191178884,85.04916250299246,86.19835403002955
video_009,67.4272,23.4538,95.9186,6.25,0.0,73.406426,99.058,22.4674,0.0,98.0108,98.22229999999999,22.4674,50.556827166666665,pyramid-forcing-thp35-30s,85.46558806718096,41.1081434517696,76.59409914409869
video_010,69.0451,22.3341,96.9368,12.5,0.0,63.583851,99.2327,30.541400000000003,0.0,98.61410000000001,99.0714,30.541400000000003,51.86673758333334,pyramid-forcing-thp35-30s,86.96067910929575,49.1938121751755,79.4073057224717
video_011,60.5518,27.0765,98.2618,0.0,0.0,56.320413,99.456,19.4938,0.0,99.2861,99.1,19.4938,48.253351083333335,pyramid-forcing-thp35-30s,85.21931542146241,40.38626983697961,76.25270630456585
video_012,76.9791,39.5737,97.4999,93.75,68.75,69.772167,97.2873,31.5711,0.0,98.2007,95.8236,31.5711,66.73155558333333,pyramid-forcing-thp35-30s,92.09949207756522,68.44351648351648,87.36829695875547
video_013,68.9241,19.7791,90.1814,100.0,0.0,70.903461,97.79520000000001,22.0876,90.23440000000001,92.9356,94.73,22.0876,64.13820508333333,pyramid-forcing-thp35-30s,88.68190028950735,58.10841960569297,82.56720415274448
video_014,60.4283,24.4862,97.3601,25.0,0.0,67.986308,99.2299,26.577,2.7344,97.05,98.8232,26.577,52.187700666666665,pyramid-forcing-thp35-30s,86.29841933235099,47.014839195956114,78.44170330507202
video_015,53.238600000000005,19.3217,97.4261,0.0,75.0,74.008505,98.7827,22.7723,35.9375,99.20259999999999,98.4508,22.7723,58.07609208333334,pyramid-forcing-thp35-30s,83.28028856006378,62.28119391576289,79.08046963120361
video_016,71.8116,30.8425,96.7106,93.75,62.5,64.326065,98.2911,27.2192,65.23440000000001,96.9583,97.0988,27.2192,69.33014708333333,pyramid-forcing-thp35-30s,91.97520228816252,78.27946469001688,89.23605476853339
video_017,58.4606,22.236800000000002,95.3852,100.0,0.0,77.397225,98.0752,22.2763,100.0,98.3425,96.1642,22.2763,65.88452708333334,pyramid-forcing-thp35-30s,89.87346010193093,60.042908033638895,83.90734968827253
video_018,74.0981,33.1845,98.0127,100.0,0.0,76.521529,99.3043,23.6921,96.48440000000001,98.95819999999999,98.7649,23.6921,68.55940241666667,pyramid-forcing-thp35-30s,94.66555691844924,66.03527472527473,88.93950047981434
video_019,73.5438,19.730800000000002,96.22,50.0,6.25,77.523266,99.0416,28.533399999999997,85.1562,97.431,97.3472,28.533399999999997,63.27588883333334,pyramid-forcing-thp35-30s,89.35846700559337,66.40777393372615,84.76832839121992
video_020,56.6662,22.0841,97.3331,18.75,0.0,76.279149,99.1702,22.9119,0.0,98.80980000000001,98.3597,22.9119,51.10633741666667,pyramid-forcing-thp35-30s,85.32647131693497,40.63406106893809,76.3879892673356
video_021,68.9714,23.9019,95.338,87.5,0.0,76.499203,98.76660000000001,27.782600000000002,49.2188,96.6032,97.2876,27.782600000000002,62.47099191666666,pyramid-forcing-thp35-30s,91.03686180026025,59.236384795900776,84.67676639938836
video_022,61.422399999999996,24.5379,96.86439999999999,93.75,0.0,78.241278,98.5606,20.7103,0.0,98.3258,98.1505,20.7103,57.60612316666666,pyramid-forcing-thp35-30s,91.23402020407764,39.93910551149483,80.97503726556108
video_023,62.863899999999994,32.5726,99.2086,0.0,0.0,66.426763,99.3576,33.6387,39.8438,99.6493,98.9106,33.6387,55.50921358333334,pyramid-forcing-thp35-30s,85.70717095849493,66.65760147660659,81.89725706211726
video_024,62.491,20.350299999999997,96.4078,100.0,0.0,73.113804,97.2514,30.4161,0.0,95.86280000000001,94.5287,30.4161,58.403166999999996,pyramid-forcing-thp35-30s,89.14619750829512,47.662022889268144,80.84936258448973
