video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group,vbench_quality_score,vbench_semantic_lite_score,vbench_total_lite_score
g1_video_000,62.569300000000005,20.019000000000002,95.3253,100.0,0.0,62.828186,98.3958,20.563699999999997,94.14059999999999,97.2187,94.6465,20.563699999999997,63.85589883333333,ablate-1_stable_stride,89.82992757805341,56.60239171229333,83.1844204049014
g1_video_001,58.1798,20.5531,96.81689999999999,68.75,0.0,72.926256,98.7879,26.495400000000004,0.0,97.7691,97.1476,26.495400000000004,55.32678799999999,ablate-1_stable_stride,88.40561895579644,43.496077162472105,79.42371059713157
g1_video_002,78.92569999999999,21.0153,97.92490000000001,100.0,0.0,68.04405,99.3754,25.4801,0.0,99.28960000000001,98.7956,25.4801,59.52756250000001,ablate-1_stable_stride,95.49995454392003,42.70516962306843,84.94099755974972
g1_video_003,61.081700000000005,20.0183,95.2693,87.5,0.0,76.809582,98.9897,23.104,15.625,97.4466,97.1683,23.104,58.00970683333333,ablate-1_stable_stride,90.02895730933832,43.19421665476592,80.66200917842384
g1_video_004,66.5929,21.1866,98.6536,0.0,0.0,70.443898,99.3564,25.2946,0.0,98.9541,99.1271,25.2946,50.408649833333335,ablate-1_stable_stride,86.12919372858451,42.62170294919416,77.42769557270644
g1_video_005,70.1624,33.4595,97.3511,31.25,0.0,79.600741,98.9244,24.5045,95.3125,98.1543,98.089,24.5045,62.60941175,ablate-1_stable_stride,88.0079120464725,66.92802197802197,83.7919340327824
g1_video_006,56.320800000000006,29.851699999999997,98.5356,0.0,81.25,68.188545,99.4323,30.0336,0.0,98.9376,98.978,30.0336,57.630145416666664,ablate-1_stable_stride,84.49949474606791,69.25395604395604,81.45038700564552
g1_video_007,60.409400000000005,21.9002,97.33000000000001,25.0,100.0,76.232624,99.309,30.096099999999996,0.0,98.8762,98.8627,30.096099999999996,61.509360333333326,ablate-1_stable_stride,86.67644400028351,68.39955233101402,83.02106566642962
g1_video_008,70.0322,24.8309,98.31830000000001,0.0,100.0,78.781565,99.5606,25.5829,100.0,99.3887,99.3652,25.5829,68.45360541666666,ablate-1_stable_stride,86.873363421463,85.49951402778528,86.59859354272746
g1_video_009,69.7029,23.0107,96.7542,12.5,0.0,75.208307,99.06960000000001,20.183899999999998,6.25,98.2032,98.2027,20.183899999999998,51.60578391666667,ablate-1_stable_stride,86.50319567863659,39.80772975303871,77.164102493517
g1_video_010,68.6499,22.8589,97.0168,0.0,0.0,65.002913,99.3156,31.417299999999997,0.0,98.5646,99.2078,31.417299999999997,51.12092608333334,ablate-1_stable_stride,86.04644759965302,50.52513796112531,78.94218567194748
g1_video_011,59.404,26.7893,98.188,0.0,0.0,54.720266,99.5239,18.3725,0.0,99.5241,99.252,18.3725,47.84554716666668,ablate-1_stable_stride,85.16915998834533,38.95224490899122,75.9257769724745
g1_video_012,76.7607,40.0859,96.8126,100.0,25.0,68.475648,97.1149,29.595,0.0,98.5113,96.0053,29.595,63.163029,ablate-1_stable_stride,92.44386826906296,57.52197802197803,85.45949021964597
g1_video_013,68.4731,19.148699999999998,91.506,93.75,0.0,71.989147,97.0783,22.6076,76.5625,90.9842,95.14789999999999,22.6076,62.48792058333334,ablate-1_stable_stride,87.85114140672582,56.86065460411335,81.65304404620332
g1_video_014,60.2007,24.567700000000002,97.432,25.0,0.0,68.343161,99.164,29.719,8.5938,97.624,98.7541,29.719,53.25978841666666,ablate-1_stable_stride,86.31835348053323,51.95015779585779,79.44471434359814
g1_video_015,52.5957,19.7507,97.18440000000001,0.0,12.5,72.300299,98.7959,23.3863,8.984399999999999,99.07390000000001,98.5003,23.3863,50.53818325,ablate-1_stable_stride,83.13534875409103,44.20105828818691,75.3484906609102
g1_video_016,72.8138,31.224800000000002,97.1301,87.5,12.5,64.499405,98.3984,27.7083,7.0312,97.3695,97.4258,27.7083,60.109133750000005,ablate-1_stable_stride,92.00244319929087,54.65901943592774,84.53375844661824
