video_id,aesthetic_quality,appearance_style,background_consistency,dynamic_degree,human_action,imaging_quality,motion_smoothness,overall_consistency,scene,subject_consistency,temporal_flickering,temporal_style,vbench_temporal_score,group
g1_video_000,0.650128,0.216146,0.954398,0.8,0.0,66.131544,0.986698,0.286637,0.0,0.959449,0.966869,0.286637,6.019875500000001,k1_selfforcing_absolute21_baseline
g1_video_001,0.611342,0.207142,0.954398,0.4,0.0,74.648394,0.992584,0.212904,0.9875,0.959449,0.98343,0.212904,6.764170583333332,k1_selfforcing_absolute21_baseline
g1_video_002,0.744535,0.323727,0.954398,0.133333,0.0,72.947446,0.993037,0.281047,0.0,0.959449,0.988043,0.281047,6.550505166666667,k1_selfforcing_absolute21_baseline
g1_video_003,0.597042,0.206538,0.954398,0.4,0.0,69.312308,0.988677,0.225685,0.0125,0.959449,0.978461,0.225685,6.23839525,k1_selfforcing_absolute21_baseline
g1_video_004,0.691602,0.368437,0.954398,0.266667,0.0,70.726973,0.992301,0.283989,0.0,0.959449,0.988657,0.283989,6.376371833333335,k1_selfforcing_absolute21_baseline
g1_video_005,0.616279,0.221446,0.954398,0.466667,0.0,71.939804,0.980345,0.224244,0.0,0.959449,0.964342,0.224244,6.462601500000001,k1_selfforcing_absolute21_baseline
g1_video_006,0.557597,0.25956,0.954398,0.266667,0.266667,68.668957,0.986234,0.293202,0.0,0.959449,0.974341,0.293202,6.2066894999999995,k1_selfforcing_absolute21_baseline
g1_video_007,0.628293,0.215368,0.954398,0.133333,0.0,71.611406,0.990996,0.287272,0.45,0.959449,0.986161,0.287272,6.458662333333334,k1_selfforcing_absolute21_baseline
g1_video_008,0.648903,0.203769,0.954398,0.066667,0.0,74.765167,0.99445,0.340339,1.0,0.959449,0.990735,0.340339,6.772018000000002,k1_selfforcing_absolute21_baseline
g1_video_009,0.559639,0.208645,0.954398,0.466667,0.0,73.991933,0.989326,0.099228,0.0,0.959449,0.976168,0.099228,6.608723416666668,k1_selfforcing_absolute21_baseline
g1_video_010,0.62443,0.214334,0.954398,0.866667,0.0,69.799537,0.989586,0.246517,0.479167,0.959449,0.983372,0.246517,6.363664500000001,k1_selfforcing_absolute21_baseline
g1_video_011,0.481649,0.260589,0.954398,0.0,0.0,52.6406,0.992989,0.209485,0.0,0.959449,0.988964,0.209485,4.808134,k1_selfforcing_absolute21_baseline
g1_video_012,0.563821,0.213815,0.954398,0.933333,0.0,78.525999,0.97378,0.132889,0.0,0.959449,0.961938,0.132889,7.029359250000002,k1_selfforcing_absolute21_baseline
g1_video_013,0.536813,0.196543,0.954398,0.333333,0.0,73.045694,0.988094,0.180786,0.495833,0.959449,0.976945,0.180786,6.570722833333334,k1_selfforcing_absolute21_baseline
g1_video_014,0.579639,0.2075,0.954398,0.666667,0.0,66.012898,0.991271,0.286139,0.0,0.959449,0.986045,0.286139,5.994178750000002,k1_selfforcing_absolute21_baseline
g1_video_015,0.537157,0.179748,0.954398,0.266667,0.0,73.138799,0.984416,0.234163,0.0,0.959449,0.973142,0.234163,6.5385085,k1_selfforcing_absolute21_baseline
g1_video_016,0.642913,0.211231,0.954398,1.0,0.0,74.67323,0.976056,0.265525,0.133333,0.959449,0.955624,0.265525,6.753107,k1_selfforcing_absolute21_baseline
g1_video_017,0.593524,0.21474,0.954398,1.0,0.0,70.005961,0.980665,0.230401,0.0,0.959449,0.962185,0.230401,6.344310333333335,k1_selfforcing_absolute21_baseline
g1_video_018,0.470753,0.211988,0.954398,0.4,0.0,51.246069,0.981215,0.256009,0.0,0.959449,0.974224,0.256009,4.725842833333333,k1_selfforcing_absolute21_baseline
g1_video_019,0.669101,0.206791,0.954398,0.0,0.0,78.889494,0.992945,0.224597,0.0,0.959449,0.984317,0.224597,7.008807416666669,k1_selfforcing_absolute21_baseline
g1_video_020,0.500418,0.227148,0.954398,0.133333,0.0,73.853229,0.989639,0.261994,0.0,0.959449,0.97929,0.261994,6.593407666666668,k1_selfforcing_absolute21_baseline
g1_video_021,0.513099,0.204977,0.954398,0.6,0.0,63.639058,0.958515,0.258626,0.583333,0.959449,0.943534,0.258626,5.822801250000001,k1_selfforcing_absolute21_baseline
g1_video_022,0.474863,0.225259,0.954398,1.0,0.0,70.739443,0.982845,0.211452,0.0,0.959449,0.969891,0.211452,6.394087666666667,k1_selfforcing_absolute21_baseline
g1_video_023,0.563787,0.223624,0.954398,0.733333,0.0,69.518766,0.973302,0.153454,0.054167,0.959449,0.949503,0.153454,6.269769750000001,k1_selfforcing_absolute21_baseline
g1_video_024,0.574948,0.22572,0.954398,0.6,0.0,72.03929,0.98217,0.180659,0.575,0.959449,0.971735,0.180659,6.520335666666667,k1_selfforcing_absolute21_baseline
g1_video_025,0.531552,0.214788,0.954398,0.133333,0.0,76.453208,0.994465,0.24036,0.0,0.959449,0.98974,0.24036,6.8093044166666665,k1_selfforcing_absolute21_baseline
g1_video_026,0.626896,0.226613,0.954398,0.866667,0.0,75.510458,0.982612,0.279248,0.0,0.959449,0.964881,0.279248,6.804205833333334,k1_selfforcing_absolute21_baseline
g1_video_027,0.567666,0.240323,0.954398,0.0,0.0,79.526881,0.994227,0.27575,0.983333,0.959449,0.991432,0.27575,7.1474340833333345,k1_selfforcing_absolute21_baseline
g1_video_028,0.699367,0.203814,0.954398,0.2,0.0,66.676052,0.99173,0.223828,0.0,0.959449,0.986244,0.223828,6.0098925,k1_selfforcing_absolute21_baseline
g1_video_029,0.639341,0.202553,0.954398,0.8,0.0,73.385984,0.991603,0.180775,0.0,0.959449,0.985328,0.180775,6.606683833333332,k1_selfforcing_absolute21_baseline
g1_video_030,0.600021,0.21397,0.954398,0.0,0.0,67.239846,0.995914,0.249741,0.0,0.959449,0.995276,0.249741,6.038196333333334,k1_selfforcing_absolute21_baseline
g1_video_031,0.625989,0.209215,0.954398,0.266667,0.0,74.044574,0.992826,0.25771,0.0,0.959449,0.987701,0.25771,6.629686583333334,k1_selfforcing_absolute21_baseline
g1_video_032,0.572092,0.227234,0.954398,0.066667,0.0,72.568333,0.987886,0.299064,0.0,0.959449,0.982834,0.299064,6.493085083333334,k1_selfforcing_absolute21_baseline
g1_video_033,0.544492,0.222797,0.954398,1.0,0.0,56.746259,0.965175,0.169419,0.0,0.959449,0.950628,0.169419,5.223503,k1_selfforcing_absolute21_baseline
g1_video_034,0.498607,0.213691,0.954398,1.0,0.0,62.33973,0.963958,0.233704,0.0125,0.959449,0.936463,0.233704,5.695517000000002,k1_selfforcing_absolute21_baseline
g1_video_035,0.573293,0.211855,0.954398,0.933333,0.0,70.658536,0.972802,0.176722,0.0,0.959449,0.947246,0.176722,6.380363,k1_selfforcing_absolute21_baseline
g1_video_036,0.497308,0.216721,0.954398,0.533333,0.0,75.818589,0.990298,0.349655,0.0,0.959449,0.983187,0.349655,6.804382749999999,k1_selfforcing_absolute21_baseline
g1_video_037,0.718159,0.199494,0.954398,0.0,1.0,73.150883,0.995452,0.281375,0.0,0.959449,0.994366,0.281375,6.627912583333333,k1_selfforcing_absolute21_baseline
g1_video_038,0.581422,0.225002,0.954398,0.0,0.0,79.663944,0.994525,0.223464,0.741667,0.959449,0.989516,0.223464,7.129737583333335,k1_selfforcing_absolute21_baseline
g1_video_039,0.691518,0.195022,0.954398,0.133333,0.0,75.121391,0.990325,0.213574,0.0,0.959449,0.985019,0.213574,6.704800249999999,k1_selfforcing_absolute21_baseline
g1_video_040,0.680731,0.32772,0.954398,1.0,0.0,75.798331,0.970345,0.31634,0.158333,0.959449,0.956388,0.31634,6.869864583333334,k1_selfforcing_absolute21_baseline
g1_video_041,0.523409,0.227439,0.954398,0.666667,0.0,71.920405,0.98732,0.235806,0.0,0.959449,0.977358,0.235806,6.47400475,k1_selfforcing_absolute21_baseline
g1_video_042,0.518372,0.21106,0.954398,0.666667,0.0,73.629311,0.979866,0.052435,0.0,0.959449,0.96366,0.052435,6.582304416666669,k1_selfforcing_absolute21_baseline
g1_video_043,0.503471,0.228214,0.954398,0.866667,0.0,66.028008,0.963242,0.268777,0.016667,0.959449,0.939313,0.268777,5.999748583333333,k1_selfforcing_absolute21_baseline
g1_video_044,0.56834,0.20777,0.954398,0.6,0.0,72.364744,0.99302,0.295513,0.0,0.959449,0.984062,0.295513,6.5185674166666665,k1_selfforcing_absolute21_baseline
g1_video_045,0.507623,0.194907,0.954398,0.2,0.0,75.497806,0.991928,0.105045,0.0,0.959449,0.983128,0.105045,6.708277416666667,k1_selfforcing_absolute21_baseline
g1_video_046,0.599805,0.197514,0.954398,0.0,0.0,60.543876,0.994927,0.202653,0.616667,0.959449,0.991732,0.202653,5.521972833333333,k1_selfforcing_absolute21_baseline
g1_video_047,0.570074,0.203257,0.954398,0.933333,0.0,54.659356,0.97971,0.285583,0.0,0.959449,0.959276,0.285583,5.065834916666668,k1_selfforcing_absolute21_baseline
g1_video_048,0.580929,0.213565,0.954398,0.933333,0.0,74.283508,0.992516,0.210019,0.0,0.959449,0.987002,0.210019,6.693728166666667,k1_selfforcing_absolute21_baseline
g1_video_049,0.542049,0.203911,0.954398,0.466667,0.0,75.264789,0.992685,0.204798,0.0,0.959449,0.988221,0.204798,6.731813749999998,k1_selfforcing_absolute21_baseline
g1_video_050,0.623637,0.211585,0.954398,0.333333,0.0,70.660453,0.993906,0.314495,0.0,0.959449,0.988195,0.314495,6.3628288333333325,k1_selfforcing_absolute21_baseline
g1_video_051,0.617629,0.216458,0.954398,0.266667,0.0,73.868173,0.983228,0.286645,1.0,0.959449,0.97996,0.286645,6.701604333333333,k1_selfforcing_absolute21_baseline
g1_video_052,0.610663,0.228083,0.954398,0.2,0.0,67.33413,0.990966,0.283526,0.0,0.959449,0.982464,0.283526,6.068933749999999,k1_selfforcing_absolute21_baseline
g1_video_053,0.654806,0.217601,0.954398,0.133333,0.0,73.538769,0.99433,0.324789,0.570833,0.959449,0.990239,0.324789,6.638611333333333,k1_selfforcing_absolute21_baseline
g1_video_054,0.674196,0.206904,0.954398,0.466667,0.0,70.957517,0.991806,0.240798,0.0,0.959449,0.986637,0.240798,6.389930833333334,k1_selfforcing_absolute21_baseline
g1_video_055,0.51557,0.223583,0.954398,0.266667,0.0,72.720095,0.993768,0.226885,0.975,0.959449,0.990258,0.226885,6.587713166666666,k1_selfforcing_absolute21_baseline
g1_video_056,0.63619,0.190599,0.954398,0.333333,0.0,73.203929,0.992335,0.38267,0.0,0.959449,0.985856,0.38267,6.585119083333335,k1_selfforcing_absolute21_baseline
g1_video_057,0.623011,0.226674,0.954398,1.0,0.0,70.712316,0.988412,0.228571,0.408333,0.959449,0.979766,0.228571,6.442458416666668,k1_selfforcing_absolute21_baseline
g1_video_058,0.554224,0.218346,0.954398,0.6,0.0,69.075682,0.985252,0.220348,0.0,0.959449,0.974883,0.220348,6.230244166666668,k1_selfforcing_absolute21_baseline
g1_video_059,0.586004,0.197854,0.954398,0.0,0.0,69.620721,0.995764,0.280702,1.0,0.959449,0.994628,0.280702,6.322518500000002,k1_selfforcing_absolute21_baseline
g1_video_060,0.646927,0.202631,0.954398,0.333333,0.0,66.113863,0.990811,0.223194,0.0,0.959449,0.982718,0.223194,5.969209833333334,k1_selfforcing_absolute21_baseline
g1_video_061,0.599871,0.198151,0.954398,0.8,0.0,71.102612,0.968208,0.206992,0.0,0.959449,0.933221,0.206992,6.4108245,k1_selfforcing_absolute21_baseline
g1_video_062,0.54052,0.207941,0.954398,0.4,0.0,63.326449,0.992553,0.196163,0.0,0.959449,0.987246,0.196163,5.7300735,k1_selfforcing_absolute21_baseline
g1_video_063,0.543967,0.21949,0.954398,0.666667,0.0,78.078521,0.987137,0.193249,0.533333,0.959449,0.980054,0.193249,7.025792833333333,k1_selfforcing_absolute21_baseline
g1_video_064,0.601271,0.210573,0.954398,0.666667,0.0,62.117534,0.993085,0.251652,0.0,0.959449,0.988644,0.251652,5.66624375,k1_selfforcing_absolute21_baseline
g1_video_065,0.715656,0.222373,0.954398,0.333333,0.0,67.220584,0.990384,0.222172,1.0,0.959449,0.985408,0.222172,6.152160750000001,k1_selfforcing_absolute21_baseline
g1_video_066,0.409199,0.203179,0.954398,0.4,0.0,69.662545,0.986662,0.160909,0.0,0.959449,0.971332,0.160909,6.2390485,k1_selfforcing_absolute21_baseline
g1_video_067,0.497407,0.210489,0.954398,1.0,0.0,70.787804,0.966864,0.21981,0.916667,0.959449,0.941863,0.21981,6.472880083333333,k1_selfforcing_absolute21_baseline
g1_video_068,0.694257,0.213186,0.954398,0.4,0.0,74.731893,0.989215,0.297424,1.0,0.959449,0.980193,0.297424,6.793119916666669,k1_selfforcing_absolute21_baseline
g1_video_069,0.557575,0.263514,0.954398,0.133333,0.0,72.953608,0.990705,0.289689,0.0125,0.959449,0.981086,0.289689,6.532128833333335,k1_selfforcing_absolute21_baseline
g1_video_070,0.497679,0.206551,0.954398,0.6,0.0,70.711341,0.964068,0.21564,0.025,0.959449,0.956725,0.21564,6.35887425,k1_selfforcing_absolute21_baseline
g1_video_071,0.54281,0.212998,0.954398,1.0,0.0,63.539066,0.956665,0.141186,0.0,0.959449,0.931529,0.141186,5.781607250000001,k1_selfforcing_absolute21_baseline
g1_video_072,0.555138,0.214598,0.954398,1.0,0.0,71.985601,0.973895,0.244647,0.0,0.959449,0.947843,0.244647,6.5066846666666684,k1_selfforcing_absolute21_baseline
g1_video_073,0.524076,0.216438,0.954398,0.866667,0.0,73.773631,0.982547,0.261777,0.0,0.959449,0.972525,0.261777,6.647773749999999,k1_selfforcing_absolute21_baseline
g1_video_074,0.610312,0.196114,0.954398,0.466667,0.0,59.541132,0.979703,0.175859,0.883333,0.959449,0.96892,0.175859,5.492645500000001,k1_selfforcing_absolute21_baseline
g1_video_075,0.538342,0.221226,0.954398,1.0,0.0,69.222999,0.964281,0.304961,0.629167,0.959449,0.93093,0.304961,6.335892833333335,k1_selfforcing_absolute21_baseline
g1_video_076,0.508279,0.197809,0.954398,0.533333,0.0,69.200898,0.98817,0.232146,0.0,0.959449,0.977454,0.232146,6.232006833333333,k1_selfforcing_absolute21_baseline
g1_video_077,0.463869,0.213852,0.954398,0.0,0.0,74.916158,0.995345,0.224365,0.8375,0.959449,0.993611,0.224365,6.731909333333335,k1_selfforcing_absolute21_baseline
g1_video_078,0.549963,0.209095,0.954398,0.866667,0.0,48.303686,0.936932,0.176439,0.0,0.959449,0.92097,0.176439,4.504503166666667,k1_selfforcing_absolute21_baseline
g1_video_079,0.526995,0.205091,0.954398,1.0,0.0,78.287285,0.963156,0.255587,0.2,0.959449,0.950947,0.255587,7.0465412500000015,k1_selfforcing_absolute21_baseline
g1_video_080,0.493383,0.208953,0.954398,0.066667,0.0,58.445256,0.95044,0.236867,0.0,0.959449,0.938015,0.236867,5.290857916666666,k1_selfforcing_absolute21_baseline
g1_video_081,0.426675,0.215494,0.954398,0.933333,0.0,63.746165,0.961745,0.245406,0.25,0.959449,0.954387,0.245406,5.824371500000001,k1_selfforcing_absolute21_baseline
g1_video_082,0.365122,0.212051,0.954398,0.733333,0.0,39.987671,0.990812,0.257432,0.0,0.959449,0.981289,0.257432,3.808249083333333,k1_selfforcing_absolute21_baseline
g1_video_083,0.46622,0.203668,0.954398,0.933333,0.0,72.755759,0.97976,0.204703,0.2375,0.959449,0.960442,0.204703,6.571661249999999,k1_selfforcing_absolute21_baseline
g1_video_084,0.628096,0.212937,0.954398,0.066667,0.0,64.491317,0.989723,0.222324,1.0,0.959449,0.983843,0.222324,5.8942565,k1_selfforcing_absolute21_baseline
g1_video_085,0.487535,0.224137,0.954398,1.0,0.0,64.134564,0.95084,0.234145,0.0,0.959449,0.906493,0.234145,5.8404755,k1_selfforcing_absolute21_baseline
g1_video_086,0.566987,0.248211,0.954398,0.8,1.0,78.363689,0.990598,0.230384,0.0,0.959449,0.984362,0.230384,7.110705166666668,k1_selfforcing_absolute21_baseline
